,player_id,name,fifa_index,name_compare
0,45247,damien perquis,7722,damien perquis
1,176130,lorenzo rosseti,8204,lorenzo valerio rosseti
2,287631,pierluigi cappelluzzo,13455,pierluigi cappelluzzo
3,88542,ruben botta,2435,ruben alejandro botta montero
4,73048,ivan martic,4967,ivan martic
5,54921,massimo volta,4899,massimo volta
6,197830,josh sheehan,14187,joshua luke sheehan
7,89648,david cornell,14780,david cornell
8,108198,sebastian ernst,9391,sebastian ernst
9,110885,florian ballas,5264,florian ballas
10,332142,quentin lecoeuche,8316,quentin lecoeuche
11,322351,abdoul ba,8296,abdoul bocar ba
12,57208,felipe saad,7745,felipe patavino saad
13,53742,damian zbozien,6993,damian zbozien
14,153735,marko simonovski,10509,marko simonovski
15,214635,claudio morra,10698,claudio morra
16,87463,marcelo larrondo,4898,marcelo alejandro larrondo paez
17,76598,matias cabrera,4418,matias julio cabrera acevedo
18,63899,josef husbauer,2235,josef husbauer
19,240365,michele somma,4531,michele somma
20,99923,simone benedetti,6903,simone benedetti
21,177321,abdul razak,12395,abdul razak
22,44294,romano perticone,7775,romano perticone
23,82367,petar sliskovic,11285,petar sliskovic
24,93552,benedikt saller,6048,benedikt saller
25,153184,fabian kalig,7364,fabian kalig
26,153198,damian rossbach,7306,damian rossbach
27,98101,marko vesovic,6154,marko vesovic
28,203150,ignacio jeraldino,5362,ignacio alejandro jeraldino jul
29,136641,dimitrios diamantakos,6052,dimitrios diamantakos
30,88057,gonzalo bustamante,6677,luis gonzalo bustamante
31,90118,soufiane bidaoui,8960,soufiane bidaoui
32,74821,franco mussis,4470,franco gabriel mussis
33,127051,yann boe kane,8157,yann boe kane
34,263062,manuel balda,6625,faberth manuel balda rodriguez
35,119081,joris sainati,6745,joris sainati
36,204404,mahmut ozen,16040,mahmut ozen
37,71002,carlos caballero,11112,carlos caballero perez
38,28862,michael agazzi,5676,michael agazzi
39,244491,stefano gori,9436,stefano gori
40,62725,alessandro de vitis,9047,alessandro de vitis
41,65929,matias rodriguez,4901,matias nicolas rodriguez
42,206701,mario piccinocchi,13549,mario piccinocchi
43,26460,fernando belluschi,2134,fernando daniel belluschi
44,54557,matias fritzler,1664,matias lionel fritzler
45,287307,alessandro mastalli,10398,alessandro mastalli
46,87493,diego novaretti,5851,diego martin novaretti
47,135082,rogelio funes mori,1080,rogelio gabriel funes mori
48,109012,ivan runje,4357,ivan runje
49,24404,johan sellberg wiland,4050,johan wiland
50,24113,espen ruud,5685,espen ruud
51,15961,rurik gislason,5732,rurik gislason
52,265545,mikkel maigaard,14894,mikkel maigaard jakobsen
53,52312,sebastian giovinco,354,sebastian giovinco
54,34652,jaroslaw fojut,7768,jaroslaw fojut
55,24501,radoslaw cierzniak,7756,radoslaw cierzniak
56,222740,kieran sadlier,9170,kieran paul sadlier
57,92548,james dayton,13267,james dayton
58,73720,viktor genev,13346,viktor genev
59,129074,jake jervis,10134,jake jervis
60,312531,emmanuel sonupe,14897,emmanuel olukolade sonupe
61,90360,filip kiss,5104,filip kiss
62,255788,cameron burgess,12527,cameron robert burgess
63,4276,carlos tevez,756,carlos alberto tevez
64,340265,giacomo volpe,16719,giacomo volpe
65,49144,erik friberg,7870,john erik gunnar friberg
66,73323,jo inge berget,5764,jo inge berget
67,48764,anders randrup,12290,anders degn randrup
68,103539,fredrik berge,6828,fredrik semb berge
69,110357,mark obrien,14131,mark obrien
70,151334,george long,7977,george long
71,193078,zaine francis angol,13374,zaine sebastian francis angol
72,64104,sasa balic,11358,sasa balic
73,119569,clark robertson,6928,clark robertson
74,42874,kyle letheren,12285,kyle charles letheren
75,117149,marko maletic,11405,marko maletic
76,249118,isak ssewankambo,10317,isak ssali ssewankambo
77,80708,tommy oar,4912,tommy oar
78,221311,ivan sanchez,2929,ivan sanchez aguayo
79,180907,stefano magnasco,4368,stefano magnasco galindo
80,251883,gaspar panadero,9433,gaspar panadero zamora
81,49795,dejan lekic,4251,dejan lekic
82,44514,federico piovaccari,7770,federico piovaccari
83,95483,abraham minero,8998,abraham minero fernandez
84,104495,lyle taylor,4929,lyle james alfred taylor
85,207891,ben richards everton,13492,benjamin richards everton
86,53523,marco torsiglieri,4263,marco natanel torsiglieri
87,55866,sebastian dubarbier,4999,sebastian dubarbier
88,37414,david caiado,8871,david caiado dias
89,55444,michael zullo,6767,michael zullo
90,288125,steven pereira,10433,steven fernandes pereira
91,237617,cristian herrera,4312,cristian ignacio herrera perez
92,164477,ezequiel rescaldani,4457,ezequiel edison rescaldani
93,111082,javier aquino,1754,javier ignacio aquino carmona
94,245902,rodny lopes cabral,12570,rodny lopes cabral
95,55135,cristian alvarez,1724,cristian dario alvarez
96,126722,edu campabadal,9031,eduard campabadal claros
97,240039,dani pinillos,6057,daniel pinillos gonzalez
98,309007,fran serrano,13451,francisco jose serrano santos
99,287282,nico hidalgo,10275,nicolas hidalgo garcia
100,37080,rasmus bengtsson,2744,rasmus bengtsson
101,200612,pol freixanet,11355,pol freixanet viejo
102,226005,franco fragapane,4351,franco rodrigo fragapane
103,44674,giovani dos santos,1298,giovani dos santos ramirez
104,246244,sergio aguza,7213,sergio aguza santiago
105,57791,diego castro,1273,diego castro gimenez
106,129483,derik osede,9172,derik osede prieto
107,142023,guillermo fernandez,5981,guillermo fernandez hierro
108,274811,raymond gyasi,12528,raymond gyasi
109,273738,hector hernandez,10349,hector jose hernandez marrero
110,36391,viktor elm,5737,viktor sebastian elm
111,208715,fredy hinestroza,3041,fredy hinestroza arias
112,138662,alvaro arroyo,3496,alvaro arroyo martinez
113,229815,alejandro sanz,11655,alejandro sanz sainz
114,126748,israel puerto,7084,israel puerto pineda
115,39004,juan carlos,8844,juan carlos sanchez martinez
116,147462,alexander callens,4396,alexander martin marquinho callens asin
