,player_id,name,fifa_index,name_compare
0,73048,ivan martic,4665,ivan martic
1,70203,ze eduardo,11921,jose eduardo de araujo
2,54921,massimo volta,6417,massimo volta
3,197830,josh sheehan,12077,joshua luke sheehan
4,89648,david cornell,11931,david cornell
5,108198,sebastian ernst,7828,sebastian ernst
6,110885,florian ballas,6736,florian ballas
7,332142,quentin lecoeuche,7868,quentin lecoeuche
8,322351,abdoul ba,11135,abdoul bocar ba
9,53742,damian zbozien,9800,damian zbozien
10,17976,anthony scaramozzino,7338,anthony scaramozzino
11,75521,marcos barrera,12793,marcos israel barrera tabilo
12,82367,petar sliskovic,14720,petar sliskovic
13,93552,benedikt saller,4832,benedikt saller
14,153184,fabian kalig,9000,fabian kalig
15,153198,damian rossbach,6827,damian rossbach
16,98101,marko vesovic,4923,marko vesovic
17,203150,ignacio jeraldino,6845,ignacio alejandro jeraldino jul
18,82550,juan sanchez sotelo,9831,juan ignacio sanchez sotelo
19,33448,cristian rodriguez,3089,cristian gabriel rodriguez barrotti
20,110320,fabian bordagaray,6549,fabian ramon bordagaray
21,263062,manuel balda,12706,faberth manuel balda rodriguez
22,52328,gonzalo bergessio,1544,gonzalo ruben bergessio
23,186393,tomas vestenicky,12212,tomas vestenicky
24,204404,mahmut ozen,15494,mahmut ozen
25,26460,fernando belluschi,3818,fernando daniel belluschi
26,87493,diego novaretti,4666,diego martin novaretti
27,52266,walter gargano,2564,walter alejandro gargano guevara
28,135082,rogelio funes mori,742,rogelio gabriel funes mori
29,109012,ivan runje,4812,ivan runje
30,24113,espen ruud,6348,espen ruud
31,121528,berkay dabanli,11007,berkay tolga dabanli
32,265545,mikkel maigaard,11137,mikkel maigaard jakobsen
33,52312,sebastian giovinco,388,sebastian giovinco
34,149996,holmbert aron fridonsson,7776,holmbert aron fridonsson
35,24501,radoslaw cierzniak,9592,radoslaw cierzniak
36,222740,kieran sadlier,7642,kieran paul sadlier
37,92548,james dayton,14702,james dayton
38,90360,filip kiss,4036,filip kiss
39,255788,cameron burgess,12113,cameron robert burgess
40,71130,antonio reguero,10737,antonio reguero chapinal
41,151582,ferhan hasani,7582,ferhan hasani
42,4276,carlos tevez,687,carlos alberto tevez
43,49144,erik friberg,8572,john erik gunnar friberg
44,73323,jo inge berget,4579,jo inge berget
45,103539,fredrik berge,7445,fredrik semb berge
46,151334,george long,6551,george long
47,64104,sasa balic,8704,sasa balic
48,119569,clark robertson,7529,clark robertson
49,199522,donervon daniels,10962,donervon joseph daniels
50,249118,isak ssewankambo,11015,isak ssali ssewankambo
51,80708,tommy oar,8537,tommy oar
52,128905,josh mceachran,7509,joshua mark mceachran
53,65233,teerasil dangda,6486,teerasil dangda
54,221311,ivan sanchez,2696,ivan sanchez aguayo
55,187673,jose angel jurado,8668,jose angel jurado de la torre
56,180907,stefano magnasco,3340,stefano magnasco galindo
57,104495,lyle taylor,4630,lyle james alfred taylor
58,207891,ben richards everton,11138,benjamin richards everton
59,37414,david caiado,8485,david caiado dias
60,55444,michael zullo,6410,michael zullo
61,237617,cristian herrera,7570,cristian ignacio herrera perez
62,111082,javier aquino,1626,javier ignacio aquino carmona
63,245902,rodny lopes cabral,11081,rodny lopes cabral
64,55135,cristian alvarez,1598,cristian dario alvarez
65,126722,edu campabadal,7536,eduard campabadal claros
66,37080,rasmus bengtsson,2559,rasmus bengtsson
67,200612,pol freixanet,9820,pol freixanet viejo
68,288454,rafa galvez,9816,rafael galvez cerrillo
69,44674,giovani dos santos,2532,giovani dos santos ramirez
70,212863,jaime sanchez,13143,jaime sanchez munoz
71,246244,sergio aguza,6758,sergio aguza santiago
72,57791,diego castro,1184,diego castro gimenez
73,36391,viktor elm,6385,viktor sebastian elm
74,208715,fredy hinestroza,3406,fredy hinestroza arias
75,138662,alvaro arroyo,5564,alvaro arroyo martinez
76,126748,israel puerto,7662,israel puerto pineda
77,147462,alexander callens,4861,alexander martin marquinho callens asin
78,242287,javi jimenez,7904,javier jimenez moreno
79,26153,alberto zapater,8448,alberto zapater arjol
80,248576,cameron dummigan,13145,cameron dummigan
81,93321,luke oneill,11930,luke oneill
82,58516,lucas barrios,4575,lucas ramon barrios caceres
83,65072,juan manuel insaurralde,3823,juan manuel insaurralde
84,48424,ivan franjic,8601,ivan franjic
85,39378,jozy altidore,2072,jozy altidore
86,265312,liam agnew,17484,liam agnew
87,184397,tom hopper,12026,thomas edward hopper
88,124845,grant hall,5632,grant hall
89,169633,bruno andrade,7590,bruno miguel carvalho andrade
90,264199,reece grego cox,13208,reece randall grego cox
