,player_id,name,fifa_index,name_compare
130,48740,milos ninkovic,2048,milos ninkovic
131,195781,mirnes pepic,11338,mirnes pepic
132,119272,mario rondon,8774,mario junior rondon fernandez
133,224677,johnny vidales,10240,johnny victor vidales lature
134,94603,patrick bauer,3294,patrick bauer
135,179308,diego rubio,4798,diego ivan rubio kostner
136,93853,martin kobylanski,6619,martin kobylanski
137,150163,xizhe zhang,6835,zhang xi zhe 
138,93768,richard strebinger,3341,richard strebinger
139,45464,sercan sararer,6496,sercan sararer osuna
140,192266,tolcay cigerci,11407,tolcay cigerci
141,90317,daniel batz,7634,daniel batz
142,232376,lucas cueto,7933,lucas cueto
143,203532,naby sarr,6713,mouhamadou naby sarr
144,47594,zlatan alomerovic,7731,zlatan alomerovic
145,45685,marc hornschuh,12296,marc hornschuh
146,153664,khaled narey,5903,khaled narey
147,248105,jonatan alvez,7940,jonatan daniel alvez sagar
148,160670,joseph claude gyau,6652,joseph claude agyeman gyau
149,82008,phillipp steinhart,5674,phillipp steinhart
150,125105,patrick weihrauch,8935,patrick weihrauch
151,335191,valeriane gvilia,8306,valerian gvilia
152,153634,marcel hilssner,12601,marcel hilssner
153,42072,tobias kempe,3968,tobias kempe
154,301235,giacomo calo,11909,giacomo calo
155,312773,daniele sommariva,13602,daniele sommariva
156,37788,philipp hosiner,7699,philipp hosiner
157,109436,oliver husing,3467,oliver husing
158,76329,marcelo estigarribia,2505,marcelo alejandro estigarribia balmori
159,30687,maxi moralez,1516,maximiliano nicol moralez
160,125251,ivan piris,1625,ivan rodrigo piris leguizamon
161,268216,marcus mathisen,10290,marcus klingenberg mathisen
162,63422,david moberg karlsson,1268,jens david joacim moberg karlsson
163,171307,joshua brillante,6611,joshua brillante
164,35491,mariano andujar,2462,mariano gonzalo andujar
165,198178,adam orn arnarson,14506,adam orn arnarson
166,114113,gudmundur thorarinsson,7806,gudmundur thorarinsson
167,223283,walter figueira,15980,walter capango figueira
168,115989,dejan stojanovic,5691,dejan stojanovic
169,171382,jack duncan,13504,jack carleton duncan
170,341298,leonardo ramos,4223,leonardo javier ramos
171,29115,igor angulo,3833,igor angulo alboniga
172,75554,magnus eriksson,5708,magnus lennart eriksson
173,131967,daniel oshaughnessy,9041,daniel michael oshaughnessy
174,62125,harmeet singh,11105,harmeet singh
175,51529,michael almeback,13401,michael carl eric almeback
176,144904,jonas knudsen,5621,jonas knudsen
177,8421,michael jakobsen,9826,michael jakobsen
178,220851,razvan popa,13703,razvan stefan popa
179,234237,simo rumbullaku,13137,simon rrumbullaku
180,223801,ferhad ayaz,11443,ferhad ayaz
181,77875,joan oumari,8955,joan oumari
182,45646,diego buonanotte,1158,diego mario buonanotte rende
183,141658,etzaz hussain,5563,etzaz muzafar hussain
184,250781,roberto pirrello,10327,roberto pirrello
185,202221,diego bejarano,4147,diego bejarano ibanez
186,96331,mikkel kirkeskov,6537,mikkel kirkeskov andersen
187,66109,fabio daprela,7554,fabio daprela
188,75035,franco jara,3958,franco daniel jara
189,47785,jukka raitala,6533,jukka raitala
190,130108,pajtim kasami,2052,pajtim kasami
191,273130,federico gino,8047,federico gino acevedo fagundez
192,223032,andreas blomqvist,12390,peter andreas blomqvist
193,111438,matteo fedele,11315,matteo fedele
194,129063,jamie reckord,14427,jamie vincent junior reckord
195,42029,blazej augustyn,7536,blazej szczepan augustyn
196,198015,jefte betancor,10007,jefte betancor sanchez
197,14259,antolin alcaraz,3835,antolin alcaraz viveros
198,261741,tobi sho silva,15971,tobi fabian shobowale sho silva
199,223263,darnell fisher,3409,darnell fisher
200,134414,tyler blackett,7680,tyler blackett
201,36802,colin kazim richards,6423,colin kazim richards
202,30846,emmanuel culio,6419,juan emmanuel culio
203,72989,luka tankulic,11171,luka tankulic
204,130230,jake taylor,11178,jake william trevor taylor
205,21703,scott brown,13375,scott peter andrew brown
206,30666,haris medunjanin,7515,haris medunjanin
207,74954,saul berjon,4669,saul berjon perez
208,278357,david goldar,6843,david goldar gomez
209,185593,nicolas lopez,1257,nicolas federico lopez alonso
210,262554,clifford aboagye,4944,clifford aboagye
211,255496,asier etxaburu,13655,asier etxaburu diz
212,211395,mauricio cuero,2709,mauricio andres cuero castillo
213,215,roque santa cruz,3829,roque luis santa cruz cantero
214,39514,theo robinson,13388,theo robinson
215,6838,henok goitom,7497,henok goitom
216,253892,ian gonzalez,9189,ian gonzalez nieto
217,280795,jonathan rodriguez,467,jonathan javier rodriguez portillo
218,154219,michael rose,6715,michael rose
219,205325,ryan mclaughlin,12405,ryan mclaughlin
220,193079,scott fraser,6631,scott stewart fraser
221,72201,hugo fraile,3917,hugo fraile martin
222,209513,igor lichnovsky,2708,igor lichnovsky osorio
223,285282,ali coote,14512,alistair coote
224,171721,adam taggart,4775,adam jake taggart
225,181135,michal szromnik,8832,michal szromnik
226,326587,matty smith,14563,matthew smith
227,48020,riku riski,8848,riku riski
228,291171,kyle knoyle,9171,kyle knoyle
229,208116,curro sanchez,3620,francisco jose sanchez rodriguez
230,311680,fran villalba,5061,francisco jose villalba rodrigo
231,250358,iban salvador,6070,iban salvador edu
232,198529,wilfried zahibo,8899,wilfried aimeric zahibo
233,271451,dani romera,7885,daniel romera andujar
234,68004,nzuzi toko,8757,nzuzi bundebele toko
235,225055,jean pierre nsame,747,jean pierre nsame
236,265573,younes bnou marzouk,14491,younes bnou marzouk
237,59434,artem putivtsev,10371,artem putivtsev
238,139449,leandro damiao,2563,leandro damiao da silva dos santos
239,122582,juan fernando quintero,582,juan fernando quintero paniagua
240,181373,antoine conte,11293,antoine conte
241,55042,diego rigonato,6582,diego rigonato rodrigues
242,329221,maxime spano,9072,maxime spano rahou
243,64229,mihai roman,9813,mihai roman
244,111783,alejandro bedoya,2528,alejandro bedoya
245,274571,laurent dos santos,5806,laurent dos santos
246,99490,murtaz daushvili,14417,murtaz daushvili
247,81056,dylan gissi,8752,dylan gissi
248,138655,chengdong zhang,6464,zhang cheng dong 
249,343273,joni montiel,6993,jonathan montiel caballero
250,35099,steven fletcher,4617,steven fletcher
251,348553,pablo claveria,11439,pablo claveria herraiz
252,120705,juan carlos,2553,juan carlos martin corral
253,215653,baptiste aloe,10027,baptiste aloe
254,250009,nathan dekoke,13599,nathan dekoke
255,260677,anton mitryushkin,11305,anton vladimirovich mitryushkin
256,255440,nikita haikin,6841,nikita haikin
257,197791,janoi donacien,11252,janoi donacien
258,251289,jordan lyden,13592,jordan david lyden
259,110861,gary gardner,5567,gary gardner
260,243690,jerell sellars,12526,jerrell anthony sellars
261,62638,nathan baker,4672,nathan baker
262,282821,corey blackett taylor,12593,corey josiah paul blackett taylor
263,34672,joey obrien,11082,joseph martin obrien
264,229826,elliot lee,8938,elliott lee
265,128906,liam moore,3985,liam moore
266,283655,grant ward,10193,grant ward
267,45395,jonathan howson,4645,jonathan howson
268,24589,wes hoolahan,8669,wesley hoolahan
269,43193,elliott bennett,7552,elliott bennett
270,42513,gary hooper,4639,gary hooper
271,74088,declan rudd,6493,declan rudd
272,203127,conor mcgrandles,11418,conor mcgrandles
273,49327,bradley johnson,5477,bradley johnson
274,198516,harry toffolo,4045,harry toffolo
275,258653,tom beadling,14507,thomas beadling
276,40612,liam bridcutt,6433,liam robert bridcutt
277,218144,mikael mandron,9992,mikael yann mathieu mandron
278,227185,jason mccarthy,7842,jason sean mccarthy
279,197910,liam shephard,11325,liam shephard
280,17273,steven taylor,4609,steven vincent taylor
281,264193,dan cleary,11544,daniel cleary
282,291111,sessi dalmeida,7942,sessi octave emile dalmeida
283,387036,joe riley,12637,joe riley
284,340194,regan poole,12538,regan leslie poole
285,314388,ro shaun williams,11609,roshaun omar stuart williams
286,183293,joe rothwell,5766,joe rothwell
287,134424,nick powell,3269,nick powell
288,289433,yakou meite,3646,yakou meite
289,121990,wellington silva,5608,wellington alves da silva
290,242681,josh vickers,11402,joshua anthony vickers
291,171820,tomi juric,8969,tomi juric
292,67715,rostyn griffiths,8682,rostyn griffiths
293,181498,george evans,5742,george evans
294,261357,cameron brannagan,9036,cameron mark thomas brannagan
295,243591,lawrence vigouroux,11299,lawrence ian vigouroux
296,6150,fabricio coloccini,5466,fabricio coloccini
297,92381,sammy ameobi,4015,sammy ameobi
298,263556,joe maguire,14539,joe maguire
299,242089,jindrich stanek,2769,jindrich stanek
300,191830,renato ibarra,2087,alex renato ibarra mina
301,315280,nigel robertha,8108,nigel robertha
302,384575,mun ki hwang,13647,mun ki hwang
303,232015,oskar zawada,12522,oskar zawada
304,147396,bruno uvini,6576,bruno uvini bortolanca
305,218355,conor grant,9009,conor james grant
306,308632,callum connolly,9163,callum connolly
307,164837,kristopher vida,10131,krisztofer andras vida
308,45543,vito wormgoor,3915,vito nova wormgoor
309,55210,adam nemec,11120,adam nemec
310,29456,rasmus lindgren,6416,rasmus lindgren
311,124888,johan kappelhof,6568,johan kappelhof
312,208095,dino islamovic,6776,dino islamovic
313,295400,raul gudino,3514,raul manolo gudino vega
314,270959,henrique dourado,2727,jose henrique da silva dourado
315,267967,hamad al yami,11786,hamad turki al tuhayfan al yami
316,108820,ulises davila,1554,ulises alejandro davila plascencia
317,45025,paulo vinicius,3138,paulo vinicius de souza nascimento
318,333913,gustavo,2776,gustavo henrique da silva sousa
319,75062,frederic brillant,6661,frederic brillant
320,253125,joao rodriguez,11348,jhoao leandro rodriguez gonzalez
321,225162,diogo verdasca,9250,diogo sousa verdasca
322,125250,celso ortiz,920,celso fabian ortiz gamarra
323,196834,david kinsombi,4866,david kinsombi
