,player_id,name,fifa_index,name_compare
0,164389,rory donnelly,10800,rory donnelly
1,45247,damien perquis,4354,damien perquis
2,23367,alessio sestu,2633,alessio sestu
3,107958,nicola bellomo,3484,nicola bellomo
4,45185,tomasz kupisz,3876,tomasz mateusz kupisz
5,334723,nicolas napol,11888,nicolas napol
6,176130,lorenzo rosseti,6678,valerio rosseti
7,287631,pierluigi cappelluzzo,14421,pierluigi cappelluzzo
8,7611,javier saviola,953,javier pedro saviola fernandez
9,73048,ivan martic,2319,ivan martic
10,55472,rafael marques,2620,rafael marques pinto
11,29208,davide succi,5978,davide succi
12,29604,riccardo cazzola,4478,riccardo cazzola
13,8206,emmanuel cascione,3786,emmanuel cascione
14,287688,janis cavagna,15348,janis cavagna
15,70203,ze eduardo,8933,jose eduardo de araujo
16,314369,matteo gasperi,13410,matteo gasperi
17,28817,gabriele perico,4580,gabriele perico
18,221815,constantin nica,10225,constantin nica
19,6012,stefano lucchini,2553,stefano lucchini
20,30332,daniele capelli,4534,daniele capelli
21,54921,massimo volta,4587,massimo volta
22,197830,josh sheehan,13206,joshua luke sheehan
23,38602,nico pulzetti,6031,nico pulzetti
24,39198,didier ya konan,1801,didier ya konan
25,2334,marcel ndeng,3716,marcel ndeng
26,141344,lee lynch,13149,lee j lynch
27,2050,nelson valdez,1289,nelson antonio haedo valdez
28,89648,david cornell,13100,david cornell
29,108198,sebastian ernst,14440,sebastian ernst
30,16888,federico agliardi,4350,federico agliardi
31,110885,florian ballas,11602,florian ballas
32,2950,robert almer,6921,robert almer
33,37852,deme ndiaye,7961,deme ndiaye
34,193051,niklas teichgraber,14439,niklas teichgraber
35,241109,aristote madiani,12905,aristote madiani
36,322351,abdoul ba,9524,abdoul bocar ba
37,33447,ahmed kantari,2670,ahmed kantari
38,111527,mathieu duhamel,2354,mathieu duhamel
39,34160,jean jacques pierre,6098,jean jacques pierre
40,332134,valentin belon,11736,valentin belon
41,53742,damian zbozien,7354,damian zbozien
42,55385,granddi ngoyi,5346,granddi ngoyi
43,94932,david torres,9047,david arenas torres
44,247247,andrea accardi,14560,andrea accardi
45,70574,milan milanovic,8029,milan milanovic
46,241475,davide monteleone,13502,davide monteleone
47,158043,daniele giorico,8215,daniele giorico
48,35075,jakub wawrzyniak,5165,jakub wawrzyniak
49,57924,carlos calvo,6974,carlos calvo sobrado
50,28841,davide moro,6912,davide moro
51,6020,francesco tavano,2538,francesco tavano
52,99923,simone benedetti,4000,simone benedetti
53,44294,romano perticone,10578,romano perticone
54,17976,anthony scaramozzino,6915,anthony scaramozzino
55,248333,simone rosso,8654,simone rosso
56,53534,julian koch,3355,julian koch
57,93552,benedikt saller,10080,benedikt saller
58,153198,damian rossbach,11108,damian rossbach
59,203150,ignacio jeraldino,8622,ignacio alejandro jeraldino jul
60,69801,mauricio carrasco,10338,mauricio nicolas carrasco
61,172338,masahudu alhassan,8257,masahudu alhassan
62,43082,nicola belmonte,6074,nicola belmonte
63,136641,dimitrios diamantakos,4884,dimitrios diamantakos
64,54794,facundo parra,4888,facundo manuel parra
65,82550,juan sanchez sotelo,8315,juan ignacio sanchez sotelo
66,60604,eric tie bi,5507,eric tie bi
67,33448,cristian rodriguez,1055,cristian gabriel rodriguez barrotti
68,160139,jorge benitez,5037,jorge daniel benitez guillen
69,88057,gonzalo bustamante,6037,luis gonzalo bustamante
70,19987,matias sanchez,7073,matias ariel sanchez
71,6721,mario santana,2554,mario alberto santana
72,24567,sebastian przyrowski,11913,sebastian przyrowski
73,74821,franco mussis,5806,franco gabriel mussis
74,127051,yann boe kane,9375,yann boe kane
75,45187,cyriaque louvion,6127,cyriaque louvion
76,33950,laurent karim agouazi,9745,laurent agouazi
77,119081,joris sainati,7034,joris sainati
78,52328,gonzalo bergessio,3803,gonzalo ruben bergessio
79,287313,andrej modic,10487,andrej modic
80,84846,gianluca sansone,3324,gianluca sansone
81,186393,tomas vestenicky,12398,tomas vestenicky
82,92740,robert stambolziev,12015,robert stambolziev
83,36689,emir bajrami,3854,emir bajrami
84,285920,gaston camara,9546,gaston camara
85,238980,andrea palazzi,12879,andrea palazzi
86,240197,isaac donkor,10882,isaac opoku donkor
87,204404,mahmut ozen,12637,mahmut ozen
88,71002,carlos caballero,5994,carlos caballero perez
89,5896,david pizarro,725,david marcelo pizarro cortes
90,65929,matias rodriguez,2742,matias nicolas rodriguez
91,233654,francesco fedato,6537,francesco fedato
92,206701,mario piccinocchi,12457,mario piccinocchi
93,21245,filip holosko,3819,filip holosko
94,26460,fernando belluschi,995,fernando daniel belluschi
95,54557,matias fritzler,6975,matias lionel fritzler
96,76749,tabare viudez,2785,tabare uruguay viudez mora
97,172665,yusuf mersin,13560,yusuf mersin
98,287307,alessandro mastalli,12777,alessandro mastalli
99,87493,diego novaretti,3359,diego martin novaretti
100,330190,kenan eryuksel,13757,kenan eryuksel
101,307535,fatih kaan ariman,12982,fatih kaan ariman
102,110697,sezer ozmen,5013,sezer ozmen
103,52266,walter gargano,1093,walter alejandro gargano guevara
104,135082,rogelio funes mori,2857,rogelio gabriel funes mori
105,98502,liban abdi,8045,liban ali abdi
106,251444,suheyl cetin,11073,suheyl cetin
107,335563,marco priis jorgensen,14459,marco priis jorgensen
108,222196,berat beciri,14785,berat bekjiri
109,24404,johan sellberg wiland,5082,johan wiland
110,104987,hakon skogseid,7856,hakon skogseid
111,24113,espen ruud,2598,espen ruud
112,15961,rurik gislason,3205,rurik gislason
113,31821,ayoub sorensen,12581,ayoub sorensen
114,121528,berkay dabanli,5721,berkay tolga dabanli
115,52312,sebastian giovinco,236,sebastian giovinco
116,4763,bo storm,9722,bo storm
117,193097,jordan moore,13152,jordan moore
118,23410,soren christensen,7798,soren ejlersgard christensen
119,34652,jaroslaw fojut,5232,jaroslaw fojut
120,184954,kudus oyenuga,15228,olalekan kudus oyenuga
121,24501,radoslaw cierzniak,6901,radoslaw cierzniak
122,3975,domi kumbela,4418,dominick kumbela
123,222740,kieran sadlier,14335,kieran paul sadlier
124,129074,jake jervis,10712,jake jervis
125,312531,emmanuel sonupe,14464,emmanuel olukolade sonupe
126,80339,graham carey,9857,graham carey
127,90360,filip kiss,9139,filip kiss
128,308669,stephen miller,15284,stephen miller
129,255788,cameron burgess,10974,cameron robert burgess
130,353728,peter tait,15333,peter tait
131,4276,carlos tevez,26,carlos alberto tevez
132,5817,andrea pirlo,53,andrea pirlo
133,49144,erik friberg,8109,john erik gunnar friberg
134,73323,jo inge berget,4570,jo inge berget
135,30668,derk boerrigter,6094,derk boerrigter
136,93873,filip twardzik,10781,filip twardzik
137,132206,john herron,13630,john herron
138,103539,fredrik berge,4654,fredrik semb berge
139,110357,mark obrien,6301,mark obrien
140,151334,george long,9078,george long
141,55573,craig reid,10906,craig reid
142,92816,anthony straker,13069,anthony othneal straker
143,119569,clark robertson,11404,clark robertson
144,36720,jim mcalister,9648,james duncan mcalister
145,199522,donervon daniels,8353,donervon joseph daniels
146,42874,kyle letheren,9718,kyle charles letheren
147,175737,adam morgan,10792,adam joseph morgan
148,199243,kingsley boateng,5833,kingsley boateng
149,125693,remy amieux,6361,remy amieux
150,27954,ognjen vukojevic,3180,ognjen vukojevic
151,249118,isak ssewankambo,7489,isak ssali ssewankambo
152,7970,gill swerts,8691,gill toby todor swerts
153,5889,thomas manfredini,1666,thomas manfredini
154,27510,lee croft,10557,lee croft
155,80708,tommy oar,3304,thomas oar
156,128905,josh mceachran,2862,joshua mark mceachran
157,221311,ivan sanchez,7353,ivan sanchez aguayo
158,7989,fernando soriano,2539,fernando soriano marcos
159,187673,jose angel jurado,9980,jose angel jurado de la torre
160,180907,stefano magnasco,7421,stefano magnasco galindo
161,44514,federico piovaccari,2660,federico piovaccari
162,95483,abraham minero,2347,abraham minero fernandez
163,104495,lyle taylor,9836,lyle james alfred taylor
164,189507,jonathan black,14891,jonny black
165,137086,eli babalj,11389,eli babalj
166,53523,marco torsiglieri,1173,marco natanel torsiglieri
167,55866,sebastian dubarbier,1533,sebastian dubarbier
168,210142,charlie essome,9947,charlie took essome
169,85326,yeray gomez,11401,yeray gomez ferragut
170,170720,mawouna amevor,9381,mawouna kodo amevor
171,30803,cristian villagra,1366,cristian carlos villagra
172,55444,michael zullo,6170,michael zullo
173,109305,adam sarota,6266,adam sarota
174,151189,yanic wildschut,7345,yanic wildschut
175,164477,ezequiel rescaldani,4224,ezequiel edison rescaldani
176,72935,raul rodriguez,2386,raul rodriguez navarro
177,111082,javier aquino,1883,javier ignacio aquino carmona
178,245902,rodny lopes cabral,9452,rodny lopes cabral
179,120582,agustin cousillas,10198,agustin sebastian cousillas
180,57800,roberto fernandez,3109,roberto fernandez alvarellos
181,57866,adrian colunga,3802,adrian colunga perez
182,94414,hector yuste,6269,hector yuste canton
183,65239,jorge morcillo,4689,jorge garcia morcillo
