,player_id,name,fifa_index,name_compare
0,38790,dmitri golubov,5626,dmitriy golubov
1,106539,aleksandr vasiljev,14253,alexandr vasiliev
2,164389,rory donnelly,7003,rory donnelly
3,45247,damien perquis,3993,damien perquis
4,97205,nikita bezlikhotnov,11601,nikita bezlikhotnov
5,14962,jesper bech,9303,jesper bech
6,40027,ruben nygaard,11881,ruben nygaard
7,62065,dennis hoegh,14207,dennis hoegh
8,203899,stijn derkx,12241,stijn derkx
9,48897,ade runsewe,10349,adeola lanre runsewe
10,23367,alessio sestu,2024,alessio sestu
11,107958,nicola bellomo,3240,nicola bellomo
12,103110,frederik hammershoj,15609,frederik hammershoj
13,45185,tomasz kupisz,3624,tomasz mateusz kupisz
14,176130,lorenzo rosseti,6328,valerio rosseti
15,47769,bjarni vidarsson,10221,bjarni vidarsson
16,20726,rolando bianchi,1930,rolando bianchi
17,287631,pierluigi cappelluzzo,15098,pierluigi cappelluzzo
18,16117,nicola pozzi,2943,nicola pozzi
19,7499,lionel scaloni,5532,lionel sebastian scaloni
20,20913,giuseppe biava,1582,giuseppe biava
21,7102,giorgio frezzolini,9290,giorgio frezzolini
22,22185,vlada avramov,1936,vlada avramov
23,7611,javier saviola,1526,javier pedro saviola fernandez
24,73048,ivan martic,9611,ivan martic
25,17171,alessandro agostini,3367,alessandro agostini
26,55472,rafael marques,2004,rafael marques pinto
27,37633,guillermo rodriguez,2041,guillermo daniel rodriguez perez
28,5976,roberto guana,3967,roberto guana
29,287686,filippo boni,13495,filippo boni
30,34909,simone bentivoglio,2932,simone bentivoglio
31,245092,grega sorcan,11797,grega sorcan
32,29208,davide succi,4015,davide succi
33,28851,manuel coppola,8456,manuel coppola
34,29604,riccardo cazzola,4130,riccardo cazzola
35,8206,emmanuel cascione,2973,emmanuel cascione
36,70203,ze eduardo,8645,jose eduardo de araujo
37,24305,giuseppe de feudis,5674,giuseppe de feudis
38,28817,gabriele perico,4255,gabriele perico
39,221815,constantin nica,10002,constantin nica
40,6012,stefano lucchini,1202,stefano lucchini
41,30332,daniele capelli,4198,daniele capelli
42,54921,massimo volta,5061,massimo volta
43,288563,alberto iglio,16101,alberto iglio
44,119256,charlton vicento,7755,charlton juan vicento
45,38602,nico pulzetti,4867,nico pulzetti
