,player_id,name,fifa_index,name_compare
0,164389,rory donnelly,10937,rory donnelly
1,45247,damien perquis,4694,damien perquis
2,107958,nicola bellomo,6929,nicola bellomo
3,45185,tomasz kupisz,3419,tomasz mateusz kupisz
4,176130,lorenzo rosseti,8209,lorenzo rosseti
5,20726,rolando bianchi,2100,rolando bianchi
6,287631,pierluigi cappelluzzo,15930,pierluigi cappelluzzo
7,28851,manuel coppola,8592,manuel coppola
8,8206,emmanuel cascione,3327,emmanuel cascione
9,314369,matteo gasperi,14172,matteo gasperi
10,28817,gabriele perico,4906,gabriele perico
11,221815,constantin nica,11118,constantin nica
12,30332,daniele capelli,3371,daniele capelli
13,54921,massimo volta,4914,massimo volta
14,197830,josh sheehan,14559,joshua luke sheehan
15,38602,nico pulzetti,6532,nico pulzetti
16,39198,didier ya konan,4867,didier ya konan
17,2050,nelson valdez,4697,nelson antonio haedo valdez
18,2767,alexander madlung,3223,alexander madlung
19,89648,david cornell,14484,david cornell
20,16888,federico agliardi,5537,federico agliardi
21,110885,florian ballas,8171,florian ballas
22,2950,robert almer,2706,robert almer
23,322351,abdoul ba,10284,abdoul bocar ba
24,33447,ahmed kantari,5666,ahmed kantari
25,111527,mathieu duhamel,3572,mathieu duhamel
26,57208,felipe saad,6513,felipe patavino saad
27,58415,sergey maslov,15849,sergey maslov
28,332134,valentin belon,13503,valentin belon
29,53742,damian zbozien,7928,damian zbozien
30,214635,claudio morra,14391,claudio morra
31,56889,francesco della rocca,4860,francesco della rocca
32,15461,jaime gavilan,7466,jaime gavilan martinez
33,35075,jakub wawrzyniak,4749,jakub wawrzyniak
34,57924,carlos calvo,8647,carlos calvo sobrado
35,240365,michele somma,12106,michele somma
36,99923,simone benedetti,5046,simone benedetti
37,44294,romano perticone,9630,romano perticone
38,17976,anthony scaramozzino,7516,anthony scaramozzino
39,248333,simone rosso,10352,simone rosso
40,198973,davide cinaglia,11200,davide cinaglia
41,53534,julian koch,5863,julian koch
42,153184,fabian kalig,11313,fabian kalig
43,153198,damian rossbach,9292,damian rossbach
44,69801,mauricio carrasco,7265,mauricio nicolas carrasco
45,172338,masahudu alhassan,8952,masahudu alhassan
46,43082,nicola belmonte,4810,nicola belmonte
47,136641,dimitrios diamantakos,3048,dimitrios diamantakos
48,82550,juan sanchez sotelo,6958,juan ignacio sanchez sotelo
49,175787,cristian lobato,5136,cristian lobato villegas
50,60604,eric tie bi,6827,eric tie bi
51,33448,cristian rodriguez,1746,cristian gabriel rodriguez barrotti
52,37124,mcdonald mariga,3365,macdonald mariga wanyama
53,160139,jorge benitez,2553,jorge daniel benitez guillen
54,110320,fabian bordagaray,4337,fabian ramon bordagaray
55,88057,gonzalo bustamante,3296,luis gonzalo bustamante
56,19987,matias sanchez,7640,matias ariel sanchez
57,90118,soufiane bidaoui,9766,soufiane bidaoui
58,74821,franco mussis,4510,franco gabriel mussis
59,255195,greg houla,11030,greg houla
60,63209,adam pinter,3597,adam pinter
61,127051,yann boe kane,9178,yann boe kane
62,45187,cyriaque louvion,6628,cyriaque louvion
63,33950,laurent karim agouazi,7592,laurent agouazi
64,119081,joris sainati,9661,joris sainati
65,52328,gonzalo bergessio,4818,gonzalo ruben bergessio
66,287313,andrej modic,12253,andrej modic
67,84846,gianluca sansone,2853,gianluca sansone
68,186393,tomas vestenicky,12894,tomas vestenicky
69,36689,emir bajrami,7620,emir bajrami
70,285920,gaston camara,10301,gaston camara
71,238980,andrea palazzi,14128,andrea palazzi
72,240197,isaac donkor,12698,isaac opoku donkor
73,265916,lucas ontivero,8234,lucas elias ontivero
74,71002,carlos caballero,6498,carlos caballero perez
75,256371,lorenzo bardini,15044,lorenzo bardini
76,28862,michael agazzi,3234,michael agazzi
77,244491,stefano gori,13521,stefano gori
78,62725,alessandro de vitis,10862,alessandro de vitis
79,65929,matias rodriguez,2815,matias nicolas rodriguez
80,233654,francesco fedato,6103,francesco fedato
81,206701,mario piccinocchi,14212,mario piccinocchi
82,21245,filip holosko,5688,filip holosko
83,337458,yusuf cataloluk,14129,yusuf cataloluk
84,26460,fernando belluschi,734,fernando daniel belluschi
85,203379,kaan baysal,11264,kaan baysal
86,54557,matias fritzler,3336,matias lionel fritzler
87,172665,yusuf mersin,15463,yusuf mersin
88,222332,lasha dvali,8332,lasha dvali
89,87493,diego novaretti,3527,diego martin novaretti
90,28922,taye taiwo,2716,taye ismaila taiwo
91,330190,kenan eryuksel,14667,kenan eryuksel
92,110697,sezer ozmen,8248,sezer ozmen
93,52266,walter gargano,1040,walter alejandro gargano guevara
94,135082,rogelio funes mori,1481,rogelio gabriel funes mori
95,98502,liban abdi,10729,liban abdi ali
96,109012,ivan runje,10949,ivan runje
97,33491,kevin foley,7451,kevin foley
98,24404,johan sellberg wiland,3211,johan wiland
99,104987,hakon skogseid,7504,hakon skogseid
100,24113,espen ruud,3273,espen ruud
101,15961,rurik gislason,4070,rurik gislason
102,29411,ergun teber,8535,ergun teber
103,52312,sebastian giovinco,167,sebastian giovinco
104,18828,milos krasic,4025,milos krasic
105,326589,ola adeyemo,15162,ola adeyemo
106,336268,emre yilmaz,14682,emre yilmaz
107,225178,oguzhan demirci,15562,oguzhan demirci
108,34652,jaroslaw fojut,5640,jaroslaw fojut
109,24501,radoslaw cierzniak,8599,radoslaw cierzniak
110,3975,domi kumbela,6508,dominick kumbela
111,222740,kieran sadlier,15481,kieran paul sadlier
