,player_id,name,fifa_index,name_compare
0,45247,damien perquis,5775,damien perquis
1,45185,tomasz kupisz,4239,tomasz mateusz kupisz
2,176130,lorenzo rosseti,7363,lorenzo rosseti
3,287631,pierluigi cappelluzzo,12395,pierluigi cappelluzzo
4,34909,simone bentivoglio,5817,simone bentivoglio
5,8206,emmanuel cascione,3431,emmanuel cascione
6,28817,gabriele perico,5060,gabriele perico
7,30332,daniele capelli,4195,daniele capelli
8,54921,massimo volta,5070,massimo volta
9,197830,josh sheehan,13068,joshua luke sheehan
10,141344,lee lynch,15550,lee j lynch
11,288570,davide mordini,14623,davide mordini
12,29356,dwight tiendalli,2742,dwight tiendalli
13,89648,david cornell,15051,david cornell
14,108198,sebastian ernst,10501,sebastian ernst
15,16888,federico agliardi,4859,federico agliardi
16,110885,florian ballas,5484,florian ballas
17,2950,robert almer,4130,robert almer
18,241109,aristote madiani,16066,aristote madiani
19,322351,abdoul ba,12436,abdoul bocar ba
20,33447,ahmed kantari,5894,ahmed kantari
21,111527,mathieu duhamel,3626,mathieu duhamel
22,57208,felipe saad,6702,felipe patavino saad
23,332134,valentin belon,13210,valentin belon
24,53742,damian zbozien,7119,damian zbozien
25,214635,claudio morra,11772,claudio morra
26,56889,francesco della rocca,6825,francesco della rocca
27,247247,andrea accardi,16460,andrea accardi
28,87463,marcelo larrondo,2222,marcelo alejandro larrondo paez
29,63899,josef husbauer,3549,josef husbauer
30,158043,daniele giorico,10148,daniele giorico
31,35075,jakub wawrzyniak,9894,jakub wawrzyniak
32,28841,davide moro,8834,davide moro
33,240365,michele somma,11526,michele somma
34,99923,simone benedetti,6096,simone benedetti
35,177321,abdul razak,10165,abdul razak
36,44294,romano perticone,9951,romano perticone
37,82367,petar sliskovic,12108,petar sliskovic
38,198973,davide cinaglia,10469,davide cinaglia
39,93552,benedikt saller,9287,benedikt saller
40,153184,fabian kalig,9609,fabian kalig
41,153198,damian rossbach,7448,damian rossbach
42,69801,mauricio carrasco,8469,mauricio nicolas carrasco
43,43082,nicola belmonte,5880,nicola belmonte
44,136641,dimitrios diamantakos,4547,dimitrios diamantakos
45,82550,juan sanchez sotelo,11223,juan ignacio sanchez sotelo
46,175787,cristian lobato,6187,cristian lobato villegas
47,60604,eric tie bi,9095,eric tie bi
48,33448,cristian rodriguez,1671,cristian gabriel rodriguez barrotti
49,37124,mcdonald mariga,3455,macdonald mariga wanyama
50,28022,alessandro lucarelli,4056,alessandro lucarelli
51,160139,jorge benitez,3200,jorge daniel benitez guillen
52,110320,fabian bordagaray,4445,fabian ramon bordagaray
53,19987,matias sanchez,6866,matias ariel sanchez
54,90118,soufiane bidaoui,12082,soufiane bidaoui
55,74821,franco mussis,1516,franco gabriel mussis
56,63209,adam pinter,6126,adam pinter
57,127051,yann boe kane,9424,yann boe kane
58,45187,cyriaque louvion,7863,cyriaque louvion
59,33950,laurent karim agouazi,6821,laurent agouazi
60,119081,joris sainati,8897,joris sainati
61,52328,gonzalo bergessio,4161,gonzalo ruben bergessio
62,84846,gianluca sansone,2864,gianluca sansone
63,186393,tomas vestenicky,13960,tomas vestenicky
64,36689,emir bajrami,9987,emir bajrami
65,238762,angelos argyris,16918,angelos argyris
66,238980,andrea palazzi,11536,andrea palazzi
67,240197,isaac donkor,11307,isaac opoku donkor
68,68436,alexander tambakis,13006,alexandros tambakis
69,71002,carlos caballero,6693,carlos caballero perez
70,290716,nicolo gigli,15511,nicolo gigli
71,233654,francesco fedato,6269,francesco fedato
72,206701,mario piccinocchi,14655,mario piccinocchi
73,26460,fernando belluschi,406,fernando daniel belluschi
74,203379,kaan baysal,11538,kaan baysal
75,54557,matias fritzler,2741,matias lionel fritzler
76,172665,yusuf mersin,15990,yusuf mersin
77,222332,lasha dvali,8528,lasha dvali
78,87493,diego novaretti,2907,diego martin novaretti
79,28922,taye taiwo,4135,taye ismaila taiwo
80,12106,ludovic obraniak,4875,ludovic obraniak
81,135082,rogelio funes mori,823,rogelio gabriel funes mori
82,98502,liban abdi,6899,liban abdi ali
83,109012,ivan runje,9248,ivan runje
84,24404,johan sellberg wiland,3299,johan wiland
85,104987,hakon skogseid,7774,hakon skogseid
86,24113,espen ruud,4065,espen ruud
87,15961,rurik gislason,6796,rurik gislason
88,121528,berkay dabanli,9359,berkay tolga dabanli
89,52312,sebastian giovinco,156,sebastian giovinco
90,18828,milos krasic,3412,milos krasic
91,34652,jaroslaw fojut,4977,jaroslaw fojut
92,24501,radoslaw cierzniak,8830,radoslaw cierzniak
93,3975,domi kumbela,4899,dominick kumbela
94,222740,kieran sadlier,10276,kieran paul sadlier
