,player_id,name,fifa_index,name_compare
0,45247,damien perquis,5579,damien perquis
1,107958,nicola bellomo,6930,nicola bellomo
2,45185,tomasz kupisz,9873,tomasz mateusz kupisz
3,176130,lorenzo rosseti,8174,lorenzo rosseti
4,287631,pierluigi cappelluzzo,12270,pierluigi cappelluzzo
5,88542,ruben botta,1965,ruben alejandro botta montero
6,34909,simone bentivoglio,5609,simone bentivoglio
7,287688,janis cavagna,16498,janis cavagna
8,221815,constantin nica,10249,constantin nica
9,30332,daniele capelli,6643,daniele capelli
10,54921,massimo volta,4856,massimo volta
11,197830,josh sheehan,13063,joshua luke sheehan
12,38602,nico pulzetti,6579,nico pulzetti
13,141344,lee lynch,15628,lee j lynch
14,89648,david cornell,15107,david cornell
15,108198,sebastian ernst,9307,sebastian ernst
16,110885,florian ballas,5233,florian ballas
17,45259,alharbi el jadeyaoui,4799,alharbi el jadeyaoui
18,332142,quentin lecoeuche,13208,quentin lecoeuche
19,322351,abdoul ba,8291,abdoul bocar ba
20,33447,ahmed kantari,8731,ahmed kantari
21,57208,felipe saad,7576,felipe patavino saad
22,332134,valentin belon,13188,valentin belon
23,53742,damian zbozien,5946,damian zbozien
24,56889,francesco della rocca,8758,francesco della rocca
25,15461,jaime gavilan,11880,jaime gavilan martinez
26,247247,andrea accardi,12391,andrea accardi
27,87463,marcelo larrondo,4854,marcelo alejandro larrondo paez
28,76598,matias cabrera,1946,matias julio cabrera acevedo
29,63899,josef husbauer,3362,josef husbauer
30,158043,daniele giorico,11038,daniele giorico
31,177321,abdul razak,10027,abdul razak
32,44294,romano perticone,7619,romano perticone
33,198973,davide cinaglia,13891,davide cinaglia
34,93552,benedikt saller,6988,benedikt saller
35,153184,fabian kalig,7275,fabian kalig
36,153198,damian rossbach,7214,damian rossbach
37,98101,marko vesovic,4429,marko vesovic
38,203150,ignacio jeraldino,9344,ignacio alejandro jeraldino jul
39,136641,dimitrios diamantakos,6024,dimitrios diamantakos
40,175787,cristian lobato,6909,cristian lobato villegas
41,33448,cristian rodriguez,1654,cristian gabriel rodriguez barrotti
42,287636,mirko esposito,16490,mirko esposito
43,110320,fabian bordagaray,5899,fabian ramon bordagaray
44,88057,gonzalo bustamante,3233,luis gonzalo bustamante
45,19987,matias sanchez,8788,matias ariel sanchez
46,74821,franco mussis,2468,franco gabriel mussis
47,63209,adam pinter,6846,adam pinter
48,127051,yann boe kane,7119,yann boe kane
49,119081,joris sainati,6654,joris sainati
50,36689,emir bajrami,10887,emir bajrami
51,238980,andrea palazzi,12316,andrea palazzi
52,5896,david pizarro,2608,david marcelo pizarro cortes
53,286293,edoardo masciangelo,16752,edoardo masciangelo
54,65929,matias rodriguez,4089,matias nicolas rodriguez
55,233654,francesco fedato,8008,francesco fedato
56,206701,mario piccinocchi,13984,mario piccinocchi
57,26460,fernando belluschi,721,fernando daniel belluschi
58,203379,kaan baysal,10391,kaan baysal
59,54557,matias fritzler,1658,matias lionel fritzler
60,172665,yusuf mersin,16447,yusuf mersin
61,222332,lasha dvali,8326,lasha dvali
62,87493,diego novaretti,5815,diego martin novaretti
63,95967,taskin calis,6232,taskin calis
64,135082,rogelio funes mori,1099,rogelio gabriel funes mori
65,109012,ivan runje,5105,ivan runje
66,24404,johan sellberg wiland,3917,johan wiland
67,104987,hakon skogseid,9795,hakon skogseid
68,24113,espen ruud,5598,espen ruud
69,15961,rurik gislason,5662,rurik gislason
70,52312,sebastian giovinco,243,sebastian giovinco
71,111837,yoann arquin,12002,yoann axel arquin
72,34652,jaroslaw fojut,5637,jaroslaw fojut
73,24501,radoslaw cierzniak,8693,radoslaw cierzniak
74,222740,kieran sadlier,9064,kieran paul sadlier
75,129074,jake jervis,9975,jake jervis
76,312531,emmanuel sonupe,15687,emmanuel olukolade sonupe
77,80339,graham carey,4923,graham carey
78,90360,filip kiss,5950,filip kiss
79,255788,cameron burgess,11244,cameron robert burgess
