,0
overall,68.09772727272727
potential,72.825
attacking_crossing,13.936363636363636
attacking_heading_accuracy,14.119318181818182
skill_curve,14.730681818181818
skill_fk_accuracy,13.832954545454545
movement_agility,41.163636363636364
movement_reactions,62.26022727272727
movement_balance,40.93863636363636
power_shot_power,48.72840909090909
power_jumping,57.7
power_stamina,30.297727272727272
mentality_aggression,26.217045454545456
mentality_positioning,10.523863636363636
mentality_penalties,19.64318181818182
goalkeeping_diving,68.7159090909091
goalkeeping_speed,38.606818181818184
