,0
overall,69.1742006615215
potential,73.71995589856671
pace,65.91694230062477
shooting,43.04446894524072
passing,56.35428151414921
dribbling,60.15067989709666
defending,67.38221242190372
physic,70.40352811466373
attacking_crossing,54.44395442851893
attacking_heading_accuracy,63.838662256523335
skill_curve,47.56229327453142
skill_fk_accuracy,40.278206541712606
movement_agility,61.21425946343256
movement_reactions,64.88680632120544
movement_balance,61.652333700845276
power_shot_power,55.40940830576994
power_jumping,70.72951120911429
power_stamina,68.61925762587285
mentality_aggression,68.45681734656377
mentality_positioning,47.09224549797869
mentality_penalties,44.68099963248805
mentality_composure,62.21499448732084
