,0
overall,69.24633431085044
potential,74.26811897779639
pace,65.76204440720569
shooting,59.722245496439044
passing,66.48135735232509
dribbling,69.11227482195224
defending,58.76413908671973
physic,66.00083787180562
attacking_crossing,60.538751571009634
attacking_heading_accuracy,54.97737746124843
skill_curve,60.99622957687474
skill_fk_accuracy,56.48889819857562
movement_agility,70.036866359447
movement_reactions,66.41139505655634
movement_balance,70.6036866359447
power_shot_power,66.8843736908253
power_jumping,63.58651026392962
power_stamina,70.99245915374948
mentality_aggression,64.35441977377461
mentality_positioning,61.94553833263511
mentality_penalties,56.255550900712194
mentality_composure,66.73229995810641
