,0
overall,69.32702464788733
potential,73.93265845070422
pace,74.45994718309859
shooting,66.93661971830986
passing,60.317341549295776
dribbling,69.62808098591549
defending,34.18794014084507
physic,63.61399647887324
attacking_crossing,57.85519366197183
attacking_heading_accuracy,59.34595070422535
skill_curve,60.089348591549296
skill_fk_accuracy,51.421654929577464
movement_agility,72.40096830985915
movement_reactions,65.49031690140845
movement_balance,69.20334507042253
power_shot_power,70.0730633802817
power_jumping,65.34947183098592
power_stamina,65.80369718309859
mentality_aggression,54.29929577464789
mentality_positioning,68.13424295774648
mentality_penalties,63.202904929577464
mentality_composure,64.95202464788733
