,player_id,name,fifa_index,name_compare,sofifa_id,which_fifa
96,72175,aleksey bazanov,10890,alexey bazanov,223485,15
97,34160,jean jacques pierre,4971,jean jacques pierre,173483,15
98,58415,sergey maslov,15211,sergey maslov,194517,15
99,180020,pavel sergeev,12399,pavel sergeev,223482,15
100,117847,sergey ignatjev,11037,sergey ignatiev,166985,15
101,51912,aleksandr makarenko,11885,aleksandr makarenko,167612,15
102,89812,maksim votinov,10099,maksim votinov,223525,15
103,332134,valentin belon,13095,valentin belon,224837,15
104,61389,ivan lozenkov,10094,ivan lozenkov,223478,15
105,25651,aleksandr filimonov,3488,aleksandr filimonov,161260,15
106,72877,maksim klikin,13149,maksim klikin,161556,15
107,55360,sergey kotov,11906,sergey kotov,174413,15
108,129038,andrey vasiljev,13305,andrey vasilyev,208043,15
109,70295,igor picusceac,7737,igor picusciac,192591,15
110,25918,zahari sirakov,9399,zahari sirakov,162860,15
111,53742,damian zbozien,7954,damian zbozien,204920,15
112,153735,marko simonovski,9277,marko simonovski,225063,15
113,60191,maksim lepskiy,11724,maxim lepskiy,223484,15
114,195064,lucas scholl,13658,lucas julian scholl,225148,15
115,7337,alan tate,5677,alan tate,158087,15
116,23345,barreto,2023,paulo vitor barreto de souza,163979,15
117,2805,christian pander,1605,christian pander,150368,15
118,213911,antonio loi,12368,antonio loi,222856,15
119,56889,francesco della rocca,4201,francesco della rocca,178043,15
120,55385,granddi ngoyi,4253,granddi ngoyi,184270,15
121,218470,cassio,10665,cassio horta magalhaes,210539,15
122,15461,jaime gavilan,1975,jaime gavilan martinez,147007,15
123,70574,milan milanovic,7653,milan milanovic,187361,15
124,21924,antonio ghomsi,6613,antonio ghomsi,177769,15
125,76598,matias cabrera,2324,matias julio cabrera acevedo,213113,15
126,20730,daniele conti,1188,daniele conti,105474,15
127,35733,francesco pisano,2465,francesco pisano,164370,15
128,35075,jakub wawrzyniak,4844,jakub wawrzyniak,153004,15
129,235921,werther carboni,10020,werther carboni,219473,15
130,28841,davide moro,6524,davide moro,163405,15
131,235923,mattia muroni,14117,mattia muroni,224233,15
132,6020,francesco tavano,2838,francesco tavano,51720,15
133,28868,tiberio guarente,2944,tiberio guarente,162145,15
134,99923,simone benedetti,3175,simone benedetti,198953,15
135,113797,matteo bachini,14401,matteo bachini,220214,15
136,44294,romano perticone,7501,romano perticone,171721,15
137,82367,petar sliskovic,7800,petar sliskovic,198195,15
138,241074,giovanni graziano,15071,giovanni graziano,220495,15
139,21769,salvatore masiello,8390,salvatore masiello,138903,15
140,198973,davide cinaglia,11692,davide cinaglia,222372,15
141,53534,julian koch,3708,julian koch,193313,15
142,93552,benedikt saller,7058,benedikt saller,210004,15
143,153198,damian rossbach,14504,damian rossbach,224250,15
144,1139,nikolce noveski,913,nikolce noveski,116620,15
145,76406,abdelkader ghezzal,5801,abdelkader mohamed ghezzal,178063,15
146,9602,maarten martens,1254,maarten martens,156544,15
147,19286,nikolaos spyropoulos,2914,nikolaos spyropoulos,153608,15
148,7373,albert riera,1568,albert riera ortega,110652,15
149,69801,mauricio carrasco,7275,mauricio nicolas carrasco,224329,15
150,172338,masahudu alhassan,11318,masahudu alhassan,203976,15
151,205179,jadson,5336,jadson alves dos santos,208824,15
152,43082,nicola belmonte,6563,nicola belmonte,170516,15
153,136641,dimitrios diamantakos,3855,dimitrios diamantakos,210380,15
154,22594,daniele galloppa,2462,daniele galloppa,163461,15
155,33448,cristian rodriguez,335,cristian gabriel rodriguez barrotti,170664,15
156,28022,alessandro lucarelli,1221,alessandro lucarelli,142359,15
157,56817,fabiano santacroce,6648,fabiano santacroce,182177,15
158,5283,eric abidal,931,eric sylvain bilal abidal,141645,15
159,160139,jorge benitez,3359,jorge daniel benitez guillen,225021,15
160,113083,asterios giakoumis,10495,asterios giakoumis,201322,15
161,6721,mario santana,2861,mario alberto santana,123629,15
162,6792,luca antonini,2871,luca antonini,137427,15
