,player_id,name,clubs,fifa_index,name_compare,fifa_clubs,sofifa_id
0,107958,nicola bellomo,['chievo-verona'],6930,nicola bellomo,US Salernitana 1919,205548
1,176130,lorenzo rosseti,['atalanta-bergamo'],8174,lorenzo rosseti,Ascoli,219938
2,287631,pierluigi cappelluzzo,['hellas-verona'],12270,pierluigi cappelluzzo,Hellas Verona,221987
3,88542,ruben botta,"['inter-mailand', 'chievo-verona']",1965,ruben alejandro botta montero,San Lorenzo de Almagro,215199
4,37633,guillermo rodriguez,['hellas-verona'],13216,jose guillermo rodriguez,Houston Dynamo,226220
5,34909,simone bentivoglio,"['brescia-calcio', 'chievo-verona']",5609,simone bentivoglio,Venezia FC,157741
6,221815,constantin nica,['cesena-fc'],10249,constantin nica,Atalanta,216578
7,30332,daniele capelli,['cesena-fc'],6643,daniele capelli,Padova,177915
8,54921,massimo volta,['cesena-fc'],4856,massimo volta,Benevento,185120
9,38602,nico pulzetti,['cesena-fc'],6579,nico pulzetti,Padova,157801
10,37525,rasmus hansen,['hobro-ik'],17990,rasmus horup hansen,AC Horsens,240870
11,141344,lee lynch,['hamilton-academical-fc'],15628,lee j lynch,Sligo Rovers,204854
12,108198,sebastian ernst,['hannover-96'],9307,sebastian ernst,SpVgg Greuther Furth,223652
13,110885,florian ballas,['hannover-96'],5233,florian ballas,SG Dynamo Dresden,216284
14,45259,alharbi el jadeyaoui,['rc-lens'],4799,alharbi el jadeyaoui,Grenoble Foot 38,176692
15,332142,quentin lecoeuche,['rc-lens'],13208,quentin lecoeuche,US Orleans Loiret Football,225927
16,322351,abdoul ba,['rc-lens'],8291,abdoul bocar ba,AJ Auxerre,225050
17,77745,lalaina nomenjanahary,['rc-lens'],7784,lalaina henintsoa nomenjanahary,Paris FC,193376
18,33447,ahmed kantari,['rc-lens'],8731,ahmed kantari,Valenciennes FC,172423
19,57208,felipe saad,['sm-caen'],7576,felipe patavino saad,FC Lorient,152870
20,15125,kasper jensen,['silkeborg-if'],7176,kasper fisker jensen,Brondby IF,221924
22,332134,valentin belon,['rc-lens'],13188,valentin belon,Racing Club de Lens,224837
23,53742,damian zbozien,['amkar-perm'],5946,damian zbozien,Arka Gdynia,204920
25,74306,andre alves,['panetolikos-gfs'],4007,andre filipe alves monteiro,Santa Clara,169941
26,56889,francesco della rocca,['palermo-fc'],8758,francesco della rocca,Padova,178043
27,167501,fabio tavares,"['atromitos-athen', 'aok-kerkyra']",105,fabio henrique tavares,Liverpool,209499
28,95730,borja sanchez,['aok-kerkyra'],10723,borja sanchez laborde,Real Oviedo,241117
30,15461,jaime gavilan,"['ud-levante', 'ao-platanias']",11880,jaime gavilan martinez,AD Alcorcon,147007
33,87463,marcelo larrondo,['fc-turin'],4854,marcelo alejandro larrondo paez,Defensa y Justicia,184982
34,76598,matias cabrera,"['gd-estoril-praia', 'cagliari-calcio']",1946,matias julio cabrera acevedo,Deportivo Cali,213113
35,63899,josef husbauer,['cagliari-calcio'],3362,josef husbauer,SK Slavia Praha,189600
36,177321,abdul razak,['ofi-kreta'],10027,abdul razak,IK Sirius,202721
37,44294,romano perticone,['fc-empoli'],7619,romano perticone,US Salernitana 1919,171721
38,93552,benedikt saller,['1-fsv-mainz-05'],6988,benedikt saller,SSV Jahn Regensburg,210004
