,player_id,name,clubs,fifa_index,name_compare,fifa_clubs,sofifa_id
0,73048,ivan martic,['hellas-verona'],4665,ivan martic,FC Sion,193505
1,37633,guillermo rodriguez,['hellas-verona'],11159,jose guillermo rodriguez,Houston Dynamo,226220
2,54921,massimo volta,['cesena-fc'],6417,massimo volta,Benevento,185120
3,108198,sebastian ernst,['hannover-96'],7828,sebastian ernst,SpVgg Greuther Furth,223652
4,110885,florian ballas,['hannover-96'],6736,florian ballas,FC Erzgebirge Aue,216284
5,332142,quentin lecoeuche,['rc-lens'],7868,quentin lecoeuche,AC Ajaccio,225927
6,322351,abdoul ba,['rc-lens'],11135,abdoul bocar ba,AJ Auxerre,225050
7,77745,lalaina nomenjanahary,['rc-lens'],8583,lalaina henintsoa nomenjanahary,Paris FC,193376
9,53742,damian zbozien,['amkar-perm'],9800,damian zbozien,Wisla Plock,204920
11,74306,andre alves,['panetolikos-gfs'],5434,andre filipe alves monteiro,Santa Clara,169941
13,95730,borja sanchez,['aok-kerkyra'],3010,borja sanchez laborde,Real Oviedo,241117
16,17976,anthony scaramozzino,['panetolikos-gfs'],7338,anthony scaramozzino,Pau FC,163652
17,75521,marcos barrera,['ael-kalloni'],12793,marcos israel barrera tabilo,Club Always Ready,254167
18,82367,petar sliskovic,['1-fsv-mainz-05'],14720,petar sliskovic,Turkgucu Munchen,198195
19,93552,benedikt saller,['1-fsv-mainz-05'],4832,benedikt saller,SSV Jahn Regensburg,210004
20,98101,marko vesovic,['fc-turin'],4923,marko vesovic,Legia Warszawa,215720
21,10254,daniel fernandes,['panthrakikos-komotini'],4113,daniel heuer fernandes,Hamburger SV,212197
22,82550,juan sanchez sotelo,['apo-levadiakos'],9831,juan ignacio sanchez sotelo,CD Huachipato,207496
25,110320,fabian bordagaray,['apo-levadiakos'],6549,fabian ramon bordagaray,Club Atletico Banfield,202154
28,263062,manuel balda,['panthrakikos-komotini'],12706,faberth manuel balda rodriguez,Santos Laguna,251240
29,52328,gonzalo bergessio,['sampdoria-genua'],1544,gonzalo ruben bergessio,Club Nacional de Football,171975
31,204404,mahmut ozen,['kayseri-erciyesspor'],15494,mahmut ozen,Falkenbergs FF,207820
32,61258,david vazquez,['veria-nps'],17057,cristian david nunez vazquez,Club Atletico Huracan,258174
33,71002,carlos caballero,"['fc-cordoba', 'veria-nps']",8844,carlos maria servin caballero,Club Libertad,218175
35,26460,fernando belluschi,['bursaspor'],3818,fernando daniel belluschi,Club Atletico Lanus,143587
36,87493,diego novaretti,['lazio-rom'],4666,diego martin novaretti,Rosario Central,193510
37,29035,ederson,['lazio-rom'],24,ederson santana de moraes,Manchester City,210257
38,52266,walter gargano,['ssc-neapel'],2564,walter alejandro gargano guevara,Club Atletico Penarol,182859
39,135082,rogelio funes mori,['eskisehirspor'],742,rogelio gabriel funes mori,CF Monterrey,198140
40,109012,ivan runje,['fc-nordsjaelland'],4812,ivan runje,Jagiellonia Bialystok,208099
41,167800,mikkel jensen,['fc-nordsjaelland'],6058,mikkel rygaard jensen,FC Nordsjaelland,234488
42,24113,espen ruud,['odense-boldklub'],6348,espen ruud,Odds BK,148696
43,20844,henrik hansen,['sonderjyske'],12076,hendrik hansen,FC Wurzburger Kickers,212251
44,121528,berkay dabanli,['eskisehirspor'],11007,berkay tolga dabanli,SC Rheindorf Altach,212980
45,52312,sebastian giovinco,['juventus-turin'],388,sebastian giovinco,Al Hilal,184431
46,149996,holmbert aron fridonsson,['brondby-if'],7776,holmbert aron fridonsson,Aalesunds FK,220922
47,24501,radoslaw cierzniak,['dundee-united-fc'],9592,radoslaw cierzniak,Legia Warszawa,162265
48,222740,kieran sadlier,['st-mirren-fc'],7642,kieran paul sadlier,Rotherham United,210046
49,92548,james dayton,['st-mirren-fc'],14702,james dayton,Leyton Orient,184042
50,90360,filip kiss,['ross-county-fc'],4036,filip kiss,Ettifaq FC,205073
51,71130,antonio reguero,['ross-county-fc'],10737,antonio reguero chapinal,HJK Helsinki,146571
52,139440,jose nunez,['brondby-if'],11561,jose manuel nunez martin,Albacete BP,245497
53,151582,ferhan hasani,['brondby-if'],7582,ferhan hasani,HJK Helsinki,205138
54,4276,carlos tevez,['juventus-turin'],687,carlos alberto tevez,Boca Juniors,143001
55,49144,erik friberg,['esbjerg-fb'],8572,john erik gunnar friberg,BK Hacken,192169
56,128103,steven ross,['ross-county-fc'],17039,ross steven marshall,Stevenage,257538
57,73323,jo inge berget,['celtic-glasgow'],4579,jo inge berget,Malmo FF,183339
59,103539,fredrik berge,['brondby-if'],7445,fredrik semb berge,Odds BK,190438
60,151334,george long,['motherwell-fc'],6551,george long,Hull City,202199
61,64104,sasa balic,['metalurg-zaporizhya-bis-2016-'],8704,sasa balic,Zaglebie Lubin,206297
63,119569,clark robertson,['aberdeen-fc'],7529,clark robertson,Rotherham United,200793
64,193362,jamie reid,['dundee-fc'],13957,jamie tyrrell reid,Mansfield Town,205255
65,199522,donervon daniels,['aberdeen-fc'],10962,donervon joseph daniels,Crewe Alexandra,209493
66,54419,egidio,['dnipro-dnipropetrovsk'],500,egidio maestre schetino,ZZZZZ,245309
67,249118,isak ssewankambo,['nac-breda'],11015,isak ssali ssewankambo,Ostersunds FK,213670
69,80708,tommy oar,['fc-utrecht'],8537,tommy oar,Macarthur FC,188071
70,65233,teerasil dangda,['ud-almeria'],6486,teerasil dangda,Shimizu S-Pulse,193827
72,82332,maikel kieftenbeld,['fc-groningen'],5579,maikel kieftenbeld,Birmingham City,199584
73,187673,jose angel jurado,['ud-almeria'],8668,jose angel jurado de la torre,FC Cartagena,203733
75,217149,antonio marin,['ud-almeria'],8254,antonio marin,Dinamo Zagreb,244267
76,104495,lyle taylor,['partick-thistle-fc'],4630,lyle james alfred taylor,Nottingham Forest,190311
78,37414,david caiado,"['metalist-kharkiv', 'vitoria-guimaraes-sc']",8485,david caiado dias,AFC Hermannstadt,178623
81,111082,javier aquino,['rayo-vallecano'],1626,javier ignacio aquino carmona,Tigres U.A.N.L.,192350
86,37080,rasmus bengtsson,['fc-twente-enschede'],2559,rasmus bengtsson,Malmo FF,181445
87,175448,juan delgado,['ud-levante'],5746,juan antonio delgado baeza,Club Necaxa,214313
89,92813,victor perez,['ud-levante'],560,victor machin perez,Atletico de Madrid,199715
90,200612,pol freixanet,['fc-elche'],9820,pol freixanet viejo,CF Fuenlabrada,206032
91,44674,giovani dos santos,['fc-villarreal'],2532,giovani dos santos ramirez,Club America,170369
92,57791,diego castro,['fc-getafe'],1184,diego castro gimenez,Perth Glory,147006
94,36391,viktor elm,['az-alkmaar'],6385,viktor sebastian elm,Kalmar FF,177055
95,208715,fredy hinestroza,['fc-getafe'],3406,fredy hinestroza arias,Junior FC,214421
96,138662,alvaro arroyo,['fc-getafe'],5564,alvaro arroyo martinez,Albacete BP,198630
97,329648,tena,['fc-sevilla'],5707,pol garcia tena,Sint-Truidense VV,211323
99,282000,carlos ramos,['atletico-madrid'],5645,luis carlos ramos martins,Sporting Kansas City,205669
100,282637,ivan perez,['atletico-madrid'],5412,edmundo ivan vazquez mellado perez,Futbol Club Juarez,156507
101,126748,israel puerto,['fc-villarreal'],7662,israel puerto pineda,Slask Wroclaw,211315
103,147462,alexander callens,['real-sociedad-san-sebastian'],4861,alexander martin marquinho callens asin,New York City FC,211522
106,7607,xavi,['fc-barcelona'],10501,xavi simons,Paris Saint-Germain,245367
107,9218,matthew taylor,['fc-burnley'],7906,matthew james taylor,Oxford United,228668
108,36894,michael duff,['fc-burnley'],4837,michael duffy,Dundalk FC,210263
109,58516,lucas barrios,"['montpellier-hsc', 'spartak-moskau']",4575,lucas ramon barrios caceres,Gimnasia y Esgrima La Plata,183177
111,65072,juan manuel insaurralde,['spartak-moskau'],3823,juan manuel insaurralde,Colo-Colo,153060
112,48424,ivan franjic,['torpedo-moskau'],8601,ivan franjic,Macarthur FC,198330
113,39378,jozy altidore,['afc-sunderland'],2072,jozy altidore,Toronto FC,176237
114,124845,grant hall,['tottenham-hotspur'],5632,grant hall,Middlesbrough,204761
115,264199,reece grego cox,['queens-park-rangers'],13208,reece randall grego cox,Crawley Town,226563
116,362809,brandon comley,['queens-park-rangers'],10043,brandon comley,Bolton Wanderers,223918
117,49693,andreas weimann,['aston-villa'],3949,andreas weimann,Bristol City,194017
118,10501,paul gallagher,['leicester-city'],4531,paul gallagher,Preston North End,162926
119,121269,ryan watson,['leicester-city'],13037,ryan james watson,Northampton Town,200744
121,43266,stephen quinn,['hull-city'],7360,stephen jude quinn,Burton Albion,173673
122,24636,paul mcshane,['hull-city'],9573,paul mcshane,Rochdale,129566
123,62240,maynor figueroa,['hull-city'],5445,maynor alexis figueroa rochez,Houston Dynamo,175092
124,67232,mark oxley,"['hibernian-fc', 'hull-city']",11916,mark thomas oxley,Southend United,186494
126,54576,sebastian blanco,['west-bromwich-albion'],961,sebastian marcelo blanco,Portland Timbers,190577
127,141349,liam oneil,['west-bromwich-albion'],14728,liam christian james oneil,Cambridge United,205361
130,226964,dominic gape,['fc-southampton'],7669,dominic edward gape,Wycombe Wanderers,211928
131,36189,christian dorda,['kvc-westerlo'],8559,christian dorda,KFC Uerdingen 05,190545
132,258884,ryan ledson,['fc-everton'],7811,ryan ledson,Preston North End,222836
133,242412,gethin jones,['fc-everton'],11130,gethin wynne jones,Bolton Wanderers,224447
134,234249,federico andrada,['fc-metz'],7613,federico oscar andrada,Club Atletico Aldosivi,208158
135,99615,junior dutra,['ksc-lokeren'],7460,sergio dutra junior,Shimizu S-Pulse,192067
136,110852,waldemar sobota,['fc-brugge'],6524,waldemar sobota,Slask Wroclaw,199861
139,39475,sacha kljestan,['rsc-anderlecht'],6380,sacha kljestan,LA Galaxy,176062
140,61561,barry bannan,['crystal-palace'],2570,barry ryan bannan,Sheffield Wednesday,183540
141,52585,james troisi,['sv-zulte-waregem'],7353,james troisi,Adelaide United,172208
142,171408,gaetan courtet,['stade-reims'],4774,gaetan courtet,AC Ajaccio,203699
143,30758,dario cvitanich,['ogc-nizza'],2049,dario cvitanich,Racing Club,152997
144,39914,mathieu coutadeur,['fc-lorient'],3851,mathieu coutadeur,AC Ajaccio,177482
145,62013,anders konradsen,['fc-stade-rennes'],6425,anders agnes konradsen,Rosenborg BK,187042
146,98339,nicolas perez,['royal-excel-mouscron'],411,enzo nicolas perez,River Plate,196432
148,156487,gregoire puel,['ogc-nizza'],12087,gregoire puel,FC Voluntari,213349
150,169090,el hadi ba,['sc-bastia'],9899,el hadi ba,En Avant de Guingamp,212338
151,15808,romaric,['sc-bastia'],15206,romaric yapi,Brighton & Hove Albion,252707
153,43907,andre pierre gignac,['olympique-marseille'],274,andre pierre christian gignac,Tigres U.A.N.L.,153244
156,95182,dragos grigore,['fc-toulouse'],5674,dragos grigore,ZZZZZ,208714
157,228900,david digla,['fc-girondins-bordeaux'],12118,david digla,Chamois Niortais Football Club,218292
160,33235,rui miguel,['fc-penafiel'],12726,rui miguel guerra pires,ESTAC Troyes,251669
167,149532,marwan mohsen,['gil-vicente-fc'],9881,marwan mohsen,ZZZZZ,211453
170,153022,nicolas blandi,['thonon-evian-grand-geneve-fc'],2658,nicolas blandi,Colo-Colo,200197
171,51069,stefan kutschke,['sc-paderborn-07'],8828,stefan kutschke,FC Ingolstadt 04,216377
173,36080,miralem sulejmani,['benfica-lissabon'],1208,miralem sulejmani,BSC Young Boys,179560
174,93571,florian hartherz,['sc-paderborn-07'],4754,florian hartherz,Fortuna Dusseldorf,202512
175,54964,patrick ziegler,['sc-paderborn-07'],10969,patrick ziegler,Western Sydney Wanderers,210280
176,32845,moritz stoppelkamp,['sc-paderborn-07'],5414,moritz stoppelkamp,MSV Duisburg,157528
177,85766,joao dias,['boavista-porto-fc'],615,joao paulo dias fernandes,SC Braga,216531
178,171043,brayan beckeles,['boavista-porto-fc'],5801,brayan antonio beckeles,Nashville SC,219285
180,48740,milos ninkovic,['thonon-evian-grand-geneve-fc'],2147,milos ninkovic,Sydney FC,195088
181,158402,bobo,['boavista-porto-fc'],14442,matchoi bobo dalo,FC Pacos de Ferreira,252470
182,195781,mirnes pepic,['sc-paderborn-07'],8851,mirnes pepic,MSV Duisburg,219449
183,305946,jose gomes,['sc-braga'],2197,diogo jose rosario gomes figueiras,SC Braga,204401
184,119272,mario rondon,['cd-nacional'],7467,mario junior rondon fernandez,CFR Cluj,192671
185,224677,johnny vidales,['cs-maritimo'],10066,johnny victor vidales lature,FBC Melgar,224983
186,94603,patrick bauer,['cs-maritimo'],2692,patrick bauer,Preston North End,204496
189,179308,diego rubio,['sporting-lissabon'],8682,diego ivan rubio kostner,Colorado Rapids,204709
190,59196,philipp zulechner,['sc-freiburg'],8819,philipp zulechner,FC Erzgebirge Aue,216186
192,168683,forbes,['vitoria-setubal-fc'],9723,felicio anando brown forbes,Rakow Czestochowa,199908
193,14331,manu,['vitoria-setubal-fc'],9222,braydon marvin manu,SV Darmstadt 98,239397
196,258263,marcos vinicius,['vitoria-setubal-fc'],3703,amaral alves marcos vinicius,Hebei FC,238224
197,94167,jerome kiesewetter,['vfb-stuttgart'],9895,jerome julien kiesewetter,Inter Miami CF,211988
198,93768,richard strebinger,['sv-werder-bremen'],2742,richard strebinger,SK Rapid Wien,209990
199,45464,sercan sararer,['vfb-stuttgart'],10830,sercan sararer osuna,Turkgucu Munchen,189077
201,203532,naby sarr,['sporting-lissabon'],6684,mouhamadou naby sarr,Huddersfield Town,212420
202,41663,chinedu obasi,['fc-schalke-04'],5425,chinedu ogbuke obasi,SC Rheindorf Altach,164478
203,248105,jonatan alvez,['vitoria-guimaraes-sc'],7860,jonatan daniel alvez sagar,Barcelona Sporting Club,225073
204,160670,joseph claude gyau,['borussia-dortmund'],5665,joseph claude agyeman gyau,FC Cincinnati,207892
206,335191,valeriane gvilia,['metalurg-zaporizhya-bis-2016-'],7155,valerian gvilia,Legia Warszawa,242673
207,37152,tommy elphick,['afc-bournemouth'],5472,tommy elphick,Huddersfield Town,180635
208,33108,gonzalo garcia,['heracles-almelo'],8354,diego gonzalo garcia cardozo,Estudiantes de La Plata,251831
209,10375,shaun macdonald,['afc-bournemouth'],10769,shaun benjamin macdonald,Rotherham United,170879
210,76281,ricardo pedriel,['mersin-idmanyurdu'],10890,ricardo pedriel suarez,Club Deportivo Jorge Wilstermann,199685
