,player_id,name,clubs,fifa_index,name_compare,fifa_clubs,sofifa_id
6488,264748,rodney kongolo,['sc-heerenveen'],9397,rodney nkele kongolo,SC Heerenveen,223962
6489,371998,vinicius junior,['real-madrid'],746,vinicius jose paixao de oliveira junior,Real Madrid CF,238794
6490,590773,hamdi akujobi,['sc-heerenveen'],13200,hamdi akujobi,SC Heerenveen,252261
6491,44501,marcelo,['real-madrid'],78,marcelo vieira da silva junior,Real Madrid CF,176676
6492,404705,adrian szőke,['heracles-almelo'],14051,adrian szoke,Heracles Almelo,251582
6493,315283,kaj sierhuis,"['ajax-amsterdam', 'fc-groningen', 'stade-reims', 'heracles-almelo']",7582,kaj sierhuis,FC Groningen,239378
6494,475949,benjamin nygren,"['krc-genk', 'sc-heerenveen']",12034,erik benjamin nygren,KRC Genk,243646
6495,290555,nikolai laursen,"['brondby-if', 'fc-emmen', 'heracles-almelo']",10505,nikolai rohde laursen,FC Emmen,224859
6496,289507,ismail azzaoui,"['vfl-wolfsburg', 'willem-ii-tilburg', 'heracles-almelo']",10549,ismail azzaoui,VfL Wolfsburg,227920
6497,436585,delano burgzorg,"['de-graafschap-doetinchem', 'heracles-almelo', 'spezia-calcio']",10911,delano burgzorg,Spezia,243619
6498,224256,bilal basacikoglu,"['feyenoord-rotterdam', 'kayserispor', 'trabzonspor', 'gaziantep-fk', 'heracles-almelo']",6045,bilal basacikoglu,Yukatel Kayserispor,209769
6499,315762,luca de la torre,"['fc-fulham', 'heracles-almelo']",11665,luca daniel de la torre,Fulham,229379
6500,337243,orestis kiomourtzoglou,['heracles-almelo'],11883,orestis kiomourtzoglou,Heracles Almelo,238965
6501,438689,robin polley,"['ado-den-haag', 'heracles-almelo']",13886,robin polley,ADO Den Haag,245145
6502,339330,navajo bakboord,['heracles-almelo'],10799,navajo bakboord,Heracles Almelo,239353
6503,538963,ruben roosken,"['fc-emmen', 'heracles-almelo']",17236,ruben roosken,FC Emmen,252268
6504,339151,sven sonnenberg,['heracles-almelo'],15932,sven sonnenberg,F.C. Hansa Rostock,250847
6505,315138,mats knoester,['heracles-almelo'],12861,mats knoester,Heracles Almelo,238040
6506,587335,milan van ewijk,"['ado-den-haag', 'sc-heerenveen']",13168,milan fabrizio van ewijk,ADO Den Haag,251626
6507,335027,koen bucker,['heracles-almelo'],15232,koen bucker,Heracles Almelo,245056
6508,81173,janis blaswich,['heracles-almelo'],4309,janis jonathan blaswich,Heracles Almelo,204092
6509,274373,rami kaib,['sc-heerenveen'],13646,rami kaib,IF Elfsborg,235516
6510,221766,lucas woudenberg,"['feyenoord-rotterdam', 'nec-nijmegen', 'sc-heerenveen']",9188,lucas woudenberg,SC Heerenveen,211195
6511,210921,nick bakker,"['fc-emmen', 'sc-heerenveen']",9082,nick bakker,FC Emmen,204397
