,player_id,name,clubs,fifa_index,name_compare,fifa_clubs,sofifa_id
0,23367,alessio sestu,"['brescia-calcio', 'chievo-verona']",2633,alessio sestu,Virtus Entella Chiavari,163989
1,107958,nicola bellomo,['chievo-verona'],3484,nicola bellomo,Chievo Verona,205548
2,287631,pierluigi cappelluzzo,['hellas-verona'],14421,pierluigi cappelluzzo,Pescara,221987
3,88542,ruben botta,"['inter-mailand', 'chievo-verona']",5776,ruben alejandro botta montero,Pachuca,215199
4,7611,javier saviola,"['hellas-verona', 'olympiakos-piraus']",953,javier pedro saviola fernandez,River Plate,1803
5,73048,ivan martic,['hellas-verona'],2319,ivan martic,Spezia,193505
6,55472,rafael marques,['hellas-verona'],2620,rafael marques pinto,Hellas Verona,159167
7,37633,guillermo rodriguez,['hellas-verona'],15294,jose guillermo rodriguez,Houston Dynamo,226220
8,29208,davide succi,['cesena-fc'],5978,davide succi,Cesena,138932
9,29604,riccardo cazzola,['cesena-fc'],4478,riccardo cazzola,Livorno,168365
10,8206,emmanuel cascione,['cesena-fc'],3786,emmanuel cascione,Cesena,169387
11,28817,gabriele perico,['cesena-fc'],4580,gabriele perico,Cesena,184328
12,221815,constantin nica,['cesena-fc'],10225,constantin nica,Avellino,216578
13,6012,stefano lucchini,['cesena-fc'],2553,stefano lucchini,Cesena,123597
14,30332,daniele capelli,['cesena-fc'],4534,daniele capelli,Cesena,177915
15,54921,massimo volta,['cesena-fc'],4587,massimo volta,Perugia,185120
16,38602,nico pulzetti,['cesena-fc'],6031,nico pulzetti,Bologna,157801
17,39198,didier ya konan,['hannover-96'],1801,didier ya konan,Fortuna Dusseldorf,179589
18,2334,marcel ndeng,['hertha-bsc'],3716,marcel ndeng,SC Paderborn 07,150514
19,141344,lee lynch,['hamilton-academical-fc'],13149,lee j lynch,Limerick FC,204854
20,2050,nelson valdez,['eintracht-frankfurt'],1289,nelson antonio haedo valdez,Seattle Sounders FC,121193
21,108198,sebastian ernst,['hannover-96'],14440,sebastian ernst,Hannover 96,223652
22,16888,federico agliardi,['cesena-fc'],4350,federico agliardi,Cesena,107579
23,110885,florian ballas,['hannover-96'],11602,florian ballas,FSV Frankfurt,216284
24,37852,deme ndiaye,['rc-lens'],7961,deme ndiaye,Racing Club de Lens,179886
25,241109,aristote madiani,['rc-lens'],12905,aristote madiani,Racing Club de Lens,226239
26,322351,abdoul ba,['rc-lens'],9524,abdoul bocar ba,Racing Club de Lens,225050
27,77745,lalaina nomenjanahary,['rc-lens'],3358,lalaina henintsoa nomenjanahary,Racing Club de Lens,193376
28,33447,ahmed kantari,['rc-lens'],2670,ahmed kantari,Toronto FC,172423
29,182962,boubacar sylla,['rc-lens'],8796,aboubacar sylla,Al Khaleej,162360
30,111527,mathieu duhamel,"['sm-caen', 'thonon-evian-grand-geneve-fc']",2354,mathieu duhamel,Le Havre AC,199378
31,15125,kasper jensen,['silkeborg-if'],5853,kasper fisker jensen,Randers FC,221924
33,34160,jean jacques pierre,['sm-caen'],6098,jean jacques pierre,Paris FC,173483
34,332134,valentin belon,['rc-lens'],11736,valentin belon,Racing Club de Lens,224837
35,53742,damian zbozien,['amkar-perm'],7354,damian zbozien,Zaglebie Lubin,204920
37,74306,andre alves,['panetolikos-gfs'],2174,andre filipe alves monteiro,Rio Ave FC,169941
38,55385,granddi ngoyi,['palermo-fc'],5346,granddi ngoyi,Dijon FCO,184270
39,167501,fabio tavares,"['atromitos-athen', 'aok-kerkyra']",704,fabio henrique tavares,AS Monaco,209499
42,70574,milan milanovic,['palermo-fc'],8029,milan milanovic,Ascoli,187361
44,87463,marcelo larrondo,['fc-turin'],3879,marcelo alejandro larrondo paez,Rosario Central,184982
45,35075,jakub wawrzyniak,['amkar-perm'],5165,jakub wawrzyniak,Lechia Gdansk,153004
46,28841,davide moro,['fc-empoli'],6912,davide moro,US Salernitana 1919,163405
47,240365,michele somma,"['as-rom', 'fc-empoli']",11123,michele somma,Brescia,225034
48,6020,francesco tavano,['fc-empoli'],2538,francesco tavano,Avellino,51720
49,99923,simone benedetti,['cagliari-calcio'],4000,simone benedetti,Cagliari,198953
50,44294,romano perticone,['fc-empoli'],10578,romano perticone,Trapani,171721
51,17976,anthony scaramozzino,['panetolikos-gfs'],6915,anthony scaramozzino,Racing Club de Lens,163652
52,248333,simone rosso,['fc-turin'],8654,simone rosso,Brescia,228820
53,53534,julian koch,['1-fsv-mainz-05'],3355,julian koch,Fortuna Dusseldorf,193313
54,93552,benedikt saller,['1-fsv-mainz-05'],10080,benedikt saller,1. FSV Mainz 05,210004
56,69801,mauricio carrasco,['atromitos-athen'],10338,mauricio nicolas carrasco,Nueva Chicago,224329
57,43082,nicola belmonte,['udinese-calcio'],6074,nicola belmonte,Perugia,170516
58,136641,dimitrios diamantakos,['olympiakos-piraus'],4884,dimitrios diamantakos,Karlsruher SC,210380
59,54794,facundo parra,['asteras-tripolis'],4888,facundo manuel parra,Atletico de Rafaela,210954
60,82550,juan sanchez sotelo,['apo-levadiakos'],8315,juan ignacio sanchez sotelo,Defensa y Justicia,207496
61,60604,eric tie bi,['asteras-tripolis'],5507,eric tie bi,Stade Brestois 29,199287
62,33448,cristian rodriguez,"['atletico-madrid', 'parma-calcio-1913']",1055,cristian gabriel rodriguez barrotti,Club Atletico Independiente,170664
63,160139,jorge benitez,['olympiakos-piraus'],5037,jorge daniel benitez guillen,Cruz Azul,225021
64,88057,gonzalo bustamante,['apo-levadiakos'],6037,luis gonzalo bustamante,Deportes Iquique,158790
66,19987,matias sanchez,['apo-levadiakos'],7073,matias ariel sanchez,Union de Santa Fe,183894
67,24567,sebastian przyrowski,['apo-levadiakos'],11913,sebastian przyrowski,Gornik Zabrze,148430
68,74821,franco mussis,"['genua-cfc', 'fc-kopenhagen']",5806,franco gabriel mussis,San Lorenzo de Almagro,216706
69,127051,yann boe kane,['gs-ergotelis'],9375,yann boe kane,Red Star FC,215786
70,21447,zito,['apo-levadiakos'],4624,antonio zito,Avellino,188487
72,120501,hakeem araba,['panthrakikos-komotini'],9842,hakeem ayodeji ayodele craig araba,Falkenbergs FF,191063
73,45187,cyriaque louvion,['gs-ergotelis'],6127,cyriaque louvion,Tours FC,177479
74,33950,laurent karim agouazi,['atromitos-athen'],9745,laurent agouazi,Tours FC,177762
75,119081,joris sainati,['gs-ergotelis'],7034,joris sainati,AC Ajaccio,179725
