,player_id,name,clubs,fifa_index,name_compare,fifa_clubs,sofifa_id
0,38790,dmitri golubov,['fk-ufa'],5626,dmitriy golubov,FC Ufa,147752
1,97205,nikita bezlikhotnov,['fk-ufa'],11601,nikita bezlikhotnov,FC Ufa,216370
2,14962,jesper bech,['silkeborg-if'],9303,jesper bech,Silkeborg IF,52975
3,40027,ruben nygaard,['hobro-ik'],11881,ruben nygaard,Hobro IK,164640
4,62065,dennis hoegh,['hobro-ik'],14207,dennis hoegh,Hobro IK,172559
5,23367,alessio sestu,"['brescia-calcio', 'chievo-verona']",2024,alessio sestu,Brescia,163989
6,107958,nicola bellomo,['chievo-verona'],3240,nicola bellomo,Chievo Verona,205548
7,47769,bjarni vidarsson,['silkeborg-if'],10221,bjarni vidarsson,Silkeborg IF,158879
8,20726,rolando bianchi,['atalanta-bergamo'],1930,rolando bianchi,Atalanta,52941
9,287631,pierluigi cappelluzzo,['hellas-verona'],15098,pierluigi cappelluzzo,Hellas Verona,221987
10,16117,nicola pozzi,"['parma-calcio-1913', 'chievo-verona']",2943,nicola pozzi,Parma,161969
11,7499,lionel scaloni,['atalanta-bergamo'],5532,lionel sebastian scaloni,Atalanta,8842
12,88542,ruben botta,"['inter-mailand', 'chievo-verona']",1899,ruben alejandro botta montero,Chievo Verona,215199
13,20913,giuseppe biava,['atalanta-bergamo'],1582,giuseppe biava,Atalanta,137133
14,7102,giorgio frezzolini,['atalanta-bergamo'],9290,giorgio frezzolini,Atalanta,7597
15,22185,vlada avramov,['atalanta-bergamo'],1936,vlada avramov,Atalanta,113188
16,7611,javier saviola,"['hellas-verona', 'olympiakos-piraus']",1526,javier pedro saviola fernandez,Hellas Verona,1803
17,73048,ivan martic,['hellas-verona'],9611,ivan martic,Hellas Verona,193505
18,17171,alessandro agostini,['hellas-verona'],3367,alessandro agostini,Hellas Verona,27971
19,55472,rafael marques,['hellas-verona'],2004,rafael marques pinto,Hellas Verona,159167
20,37633,guillermo rodriguez,['hellas-verona'],2041,guillermo daniel rodriguez perez,Hellas Verona,167098
21,34909,simone bentivoglio,"['brescia-calcio', 'chievo-verona']",2932,simone bentivoglio,Brescia,157741
22,29208,davide succi,['cesena-fc'],4015,davide succi,Cesena,138932
23,28851,manuel coppola,['cesena-fc'],8456,manuel coppola,Cesena,159274
24,29604,riccardo cazzola,['cesena-fc'],4130,riccardo cazzola,Cesena,168365
25,8206,emmanuel cascione,['cesena-fc'],2973,emmanuel cascione,Cesena,169387
