,player_id,name,clubs,fifa_index,name_compare,fifa_clubs,sofifa_id
0,73048,ivan martic,['hellas-verona'],7603,ivan martic,FC Sion,193505
1,37633,guillermo rodriguez,['hellas-verona'],9121,jose guillermo rodriguez,Houston Dynamo,226220
2,221815,constantin nica,['cesena-fc'],15218,constantin nica,FC Dinamo 1948 Bucuresti,216578
3,108198,sebastian ernst,['hannover-96'],3487,sebastian ernst,Hannover 96,223652
4,110885,florian ballas,['hannover-96'],6783,florian ballas,FC Erzgebirge Aue,216284
5,332142,quentin lecoeuche,['rc-lens'],9117,quentin lecoeuche,Valenciennes FC,225927
7,53742,damian zbozien,['amkar-perm'],11215,damian zbozien,Wisla Plock,204920
10,95730,borja sanchez,['aok-kerkyra'],3003,borja sanchez laborde,Real Oviedo,241117
13,76598,matias cabrera,"['gd-estoril-praia', 'cagliari-calcio']",18132,matias cabrera,Montevideo City Torque,264634
14,82367,petar sliskovic,['1-fsv-mainz-05'],9919,petar sliskovic,Turkgucu Munchen,198195
15,93552,benedikt saller,['1-fsv-mainz-05'],6677,benedikt saller,SSV Jahn Regensburg,210004
16,10254,daniel fernandes,['panthrakikos-komotini'],4100,daniel heuer fernandes,Hamburger SV,212197
17,136641,dimitrios diamantakos,['olympiakos-piraus'],5724,dimitrios diamantakos,Hajduk Split,210380
18,54794,facundo parra,['asteras-tripolis'],7761,facundo manuel parra,Guairena FC,210954
19,82550,juan sanchez sotelo,['apo-levadiakos'],6646,juan ignacio sanchez sotelo,Club Deportivo Palestino,207496
20,191850,kosmas gezos,['panionios-athen'],12181,kosmas gkezos,SK Austria Klagenfurt,262389
21,33448,cristian rodriguez,"['atletico-madrid', 'parma-calcio-1913']",7262,cristian rodriguez perez,SD Ponferradina,245986
22,88057,gonzalo bustamante,['apo-levadiakos'],12124,gonzalo roberto valle bustamante,Guayaquil City FC,259904
23,24008,ruben gomez,['apo-levadiakos'],14250,ruben de tomas gomez,Rayo Vallecano,260828
