,0
696,2486
697,2488
698,2498
699,2500
700,2502
701,2504
702,2519
703,2522
704,2525
705,2530
706,2531
707,2532
708,2536
709,2540
710,2551
711,2558
712,2564
713,2577
714,2590
715,2593
716,2595
717,2599
718,2601
719,2608
720,2614
721,2616
722,2619
723,2622
724,2625
725,2630
726,2637
727,2639
728,2646
729,2652
730,2655
731,2665
732,2666
733,2676
734,2690
735,2697
736,2699
737,2703
738,2704
739,2708
740,2712
741,2719
742,2722
743,2724
744,2725
745,2729
746,2735
747,2739
748,2740
749,2742
750,2743
751,2746
752,2748
753,2757
754,2767
755,2771
756,2779
757,2782
758,2783
759,2784
760,2786
761,2793
762,2796
763,2812
764,2816
765,2817
766,2819
767,2827
768,2830
769,2831
770,2834
771,2835
772,2836
773,2842
774,2847
775,2855
776,2857
777,2860
778,2861
779,2863
780,2870
781,2873
782,2878
783,2883
784,2887
785,2890
786,2893
787,2896
788,2898
789,2899
790,2912
791,2916
792,2917
793,2920
794,2923
795,2925
796,2926
797,2930
798,2934
799,2937
800,2942
801,2956
802,2958
803,2962
804,2966
805,2969
806,2979
807,2984
808,2988
809,2994
810,3000
811,3003
812,3005
813,3010
814,3012
815,3013
816,3014
817,3017
818,3019
819,3020
820,3025
821,3027
822,3028
823,3029
824,3031
825,3036
826,3042
827,3046
828,3057
829,3059
830,3060
831,3062
832,3064
833,3068
834,3073
835,3074
836,3081
837,3082
838,3094
839,3101
840,3103
841,3106
842,3112
843,3113
844,3119
845,3127
846,3128
847,3140
848,3143
849,3148
850,3150
851,3154
852,3157
853,3162
854,3172
855,3177
856,3188
857,3190
858,3215
859,3222
860,3223
861,3225
862,3229
863,3235
864,3237
865,3242
866,3245
867,3252
868,3259
869,3277
870,3283
871,3284
872,3294
873,3311
874,3314
875,3327
876,3329
877,3331
878,3335
879,3336
880,3341
881,3345
882,3353
883,3360
884,3361
885,3371
886,3372
887,3389
888,3391
889,3398
890,3401
891,3402
892,3414
893,3418
894,3419
895,3421
896,3428
897,3432
898,3433
899,3434
900,3438
901,3439
902,3456
903,3457
904,3463
905,3470
906,3472
907,3474
908,3475
909,3476
910,3477
911,3478
912,3480
913,3481
914,3485
915,3487
916,3489
917,3490
918,3494
919,3495
920,3497
921,3505
922,3516
923,3518
924,3524
925,3526
926,3527
927,3532
928,3536
929,3542
930,3543
931,3545
932,3547
933,3548
934,3554
935,3556
936,3557
937,3563
938,3564
939,3566
940,3573
941,3579
942,3589
943,3590
944,3592
945,3597
946,3599
947,3601
948,3602
949,3604
950,3606
951,3609
952,3613
953,3615
954,3617
955,3620
956,3627
957,3630
958,3632
959,3640
960,3641
961,3642
962,3643
963,3658
964,3660
965,3661
966,3667
967,3668
968,3673
969,3676
970,3679
971,3680
972,3682
973,3685
974,3686
975,3690
976,3712
977,3715
978,3723
979,3729
980,3730
981,3751
982,3753
983,3757
984,3770
985,3771
986,3775
987,3776
988,3777
989,3801
990,3821
991,3833
992,3847
993,3850
994,3858
995,3865
996,3886
997,3896
998,3901
999,3902
1000,3907
1001,3908
1002,3910
1003,3911
1004,3913
1005,3916
1006,3928
1007,3934
1008,3939
1009,3947
1010,3954
1011,3956
1012,3962
1013,3967
1014,3970
1015,3971
1016,3975
1017,3982
1018,3985
1019,3987
1020,3989
1021,3994
1022,4006
1023,4010
1024,4012
1025,4014
1026,4017
1027,4019
1028,4025
1029,4030
1030,4032
1031,4033
1032,4036
1033,4039
1034,4041
1035,4042
1036,4044
1037,4049
1038,4050
1039,4054
1040,4057
1041,4059
1042,4060
1043,4061
1044,4064
1045,4072
1046,4078
1047,4084
1048,4085
1049,4088
1050,4090
1051,4094
1052,4096
1053,4100
1054,4109
1055,4113
1056,4121
1057,4122
1058,4129
1059,4141
1060,4167
1061,4172
1062,4183
1063,4193
1064,4194
1065,4198
1066,4202
1067,4208
1068,4211
1069,4215
1070,4219
1071,4222
1072,4225
1073,4226
1074,4227
1075,4231
1076,4235
1077,4236
1078,4239
1079,4244
1080,4253
1081,4255
1082,4264
1083,4268
1084,4277
