Lieu,Nom,Score,Description,Lien,lat,lon
Mont Saint Michel,Hôtel Ariane & SPA,7.6,"This charming hotel sits at the border of Brittany and Normandy, just a 5-minute drive from the Mont-Saint-Michel. Set in a garden, it has an outdoor terrace and spacious rooms. ",https://www.booking.com/hotel/fr/ariane-pontorson.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQ_YAQHoAQH4AQuIAgGoAgS4ArKYy4sGwAIB0gIkZDZlMzFiODMtZjgzNS00ZDBhLThiZjktYTk4N2RkMmIyYjEx2AIG4AIB&sid=740fbe8e0d335d88d9522e5eade76c7d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=67636699ed2b0226&srepoch=1634913332&from=searchresults&map=1&from_sr_card=2,48.55240292,1.50712252
Mont Saint Michel,Mercure Mont Saint Michel,8.2,"This Mercure is situated in parkland just 2 km from the abbey of Mont Saint Michel. It offers spacious en suite rooms, a restaurant and bar and plenty of free on-site parking. ",https://www.booking.com/hotel/fr/mont-saint-michel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQ_YAQHoAQH4AQuIAgGoAgS4ArKYy4sGwAIB0gIkZDZlMzFiODMtZjgzNS00ZDBhLThiZjktYTk4N2RkMmIyYjEx2AIG4AIB&sid=740fbe8e0d335d88d9522e5eade76c7d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=67636699ed2b0226&srepoch=1634913332&from=searchresults&map=1&from_sr_card=2,48.61424653,1.51054502
Mont Saint Michel,Hotel De La Digue,7.1,"The traditional Hotel De La Digue in the Basse-Normandie region is only 5 minutes by shuttle from Mont St Michel, or 30 minutes by foot. Free Wi-Fi is provided throughout the property. ",https://www.booking.com/hotel/fr/de-la-digue.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQ_YAQHoAQH4AQuIAgGoAgS4ArKYy4sGwAIB0gIkZDZlMzFiODMtZjgzNS00ZDBhLThiZjktYTk4N2RkMmIyYjEx2AIG4AIB&sid=740fbe8e0d335d88d9522e5eade76c7d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=67636699ed2b0226&srepoch=1634913332&from=searchresults&map=1&from_sr_card=2,48.61688155,1.51091784
Mont Saint Michel,Aux Chambres du Mont,8.9,"Aux chambres du Mont is located in Huisnes-sur-Mer, just 7 km from the famous Mont Saint-Michel and 19 km from Avranches. Free WiFi access is offered. ",https://www.booking.com/hotel/fr/la-casserole-de-la-baie.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQ_YAQHoAQH4AQuIAgGoAgS4ArKYy4sGwAIB0gIkZDZlMzFiODMtZjgzNS00ZDBhLThiZjktYTk4N2RkMmIyYjEx2AIG4AIB&sid=740fbe8e0d335d88d9522e5eade76c7d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=67636699ed2b0226&srepoch=1634913332&from=searchresults&map=1&from_sr_card=2,48.608511,1.452326
Mont Saint Michel,"The Originals Boutique, Hôtel Les Quatre Salines, Le Mont Saint-Michel Sud (Inter-Hotel)",7.9,"The Originals Boutique, Hôtel Les Quatre Salines, Le Mont Saint-Michel Sud is located just a 10-minute drive from Le Mont Saint Michel and a 35-minute drive from Saint Malo. ",https://www.booking.com/hotel/fr/lessalines.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQ_YAQHoAQH4AQuIAgGoAgS4ArKYy4sGwAIB0gIkZDZlMzFiODMtZjgzNS00ZDBhLThiZjktYTk4N2RkMmIyYjEx2AIG4AIB&sid=740fbe8e0d335d88d9522e5eade76c7d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=67636699ed2b0226&srepoch=1634913332&from=searchresults&map=1&from_sr_card=2,48.59640422,1.58920348
Mont Saint Michel,A L'Ombre du Mont St Michel,9.3,"Offering an outdoor swimming pool and a garden, A L'Ombre du Mont St Michel is a B&B located in the countryside of Huisnes-sur-Mer, just 2 km from the Mont Saint-Michel. ",https://www.booking.com/hotel/fr/a-l-ombre-du-mont-st-michel.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQ_YAQHoAQH4AQuIAgGoAgS4ArKYy4sGwAIB0gIkZDZlMzFiODMtZjgzNS00ZDBhLThiZjktYTk4N2RkMmIyYjEx2AIG4AIB&sid=740fbe8e0d335d88d9522e5eade76c7d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=67636699ed2b0226&srepoch=1634913332&from=searchresults&map=1&from_sr_card=2,48.61591354,1.46560172
Mont Saint Michel,Vacancéole - Le Domaine du Mont - Mont St Michel,7.5,"Located just 18 km from Mont Saint Michel in Roz-Sur-Couesnon,  Vacancéole Le Domaine du Mont offers a shaded outdoor terrace. Some of the rooms are air conditioned. ",https://www.booking.com/hotel/fr/et-residence-club-mmv-le-domaine-du-mont.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQ_YAQHoAQH4AQuIAgGoAgS4ArKYy4sGwAIB0gIkZDZlMzFiODMtZjgzNS00ZDBhLThiZjktYTk4N2RkMmIyYjEx2AIG4AIB&sid=740fbe8e0d335d88d9522e5eade76c7d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=67636699ed2b0226&srepoch=1634913332&from=searchresults&map=1&from_sr_card=2,48.59352509,1.59637034
Mont Saint Michel,Best Western Hôtel Montgomery,8.6,"A 5 minutes' drive from Mont-Saint-Michel, the hotel is a 16th century old manor located in Pontorson. The Best Western Hôtel Montgomery features a garden as well as a private parking for an extra...",https://www.booking.com/hotel/fr/montgomery.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQ_YAQHoAQH4AQuIAgGoAgS4ArKYy4sGwAIB0gIkZDZlMzFiODMtZjgzNS00ZDBhLThiZjktYTk4N2RkMmIyYjEx2AIG4AIB&sid=740fbe8e0d335d88d9522e5eade76c7d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=67636699ed2b0226&srepoch=1634913332&from=searchresults&map=1&from_sr_card=2,48.5529107,1.51148379
Mont Saint Michel,Le Beauvoir,7.7,Le Beauvoir is located just 4 kilometres from Mont Saint Michel and a 20-minute drive from Cancale. It offers free private parking and a restaurant. ,https://www.booking.com/hotel/fr/le-beauvoir-beauvoir.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQ_YAQHoAQH4AQuIAgGoAgS4ArKYy4sGwAIB0gIkZDZlMzFiODMtZjgzNS00ZDBhLThiZjktYTk4N2RkMmIyYjEx2AIG4AIB&sid=740fbe8e0d335d88d9522e5eade76c7d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=67636699ed2b0226&srepoch=1634913332&from=searchresults&map=1&from_sr_card=2,48.59771334,1.51309848
Mont Saint Michel,Hotel Rose,8.7,"Composed of thoughtfully designed independent bungalows and guestrooms in the annex house of a 19th-century building, Hotel Rose offers comfortable accommodation and a peaceful atmosphere. ",https://www.booking.com/hotel/fr/gue-de-beauvoir.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaBWIAQGYAQm4ARjIAQ_YAQHoAQH4AQuIAgGoAgS4ArKYy4sGwAIB0gIkZDZlMzFiODMtZjgzNS00ZDBhLThiZjktYTk4N2RkMmIyYjEx2AIG4AIB&sid=740fbe8e0d335d88d9522e5eade76c7d&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=67636699ed2b0226&srepoch=1634913332&from=searchresults&map=1&from_sr_card=2,48.59706233,1.51303947
