Places,latitude,longitude,jour,date,Tmin,Tmax,Humidity,Weather,clouds,WeatherCode,icone
Dijon,47.3215806,5.0414701,7.0,2022-02-17 11:00:00,8.310000000000002,10.340000000000032,93.0,Clouds (overcast clouds),100.0,804.0,http://openweathermap.org/img/wn/04d.png
Annecy,45.8992348,6.1288847,7.0,2022-02-17 11:00:00,5.650000000000034,10.939999999999998,94.0,Clouds (overcast clouds),98.0,804.0,http://openweathermap.org/img/wn/04d.png
Grenoble,45.1875602,5.7357819,7.0,2022-02-17 11:00:00,5.5400000000000205,12.75,91.0,Clouds (broken clouds),80.0,803.0,http://openweathermap.org/img/wn/04d.png
Lyon,45.75781370000001,4.8320114,7.0,2022-02-17 11:00:00,7.7000000000000455,12.110000000000014,77.0,Clouds (overcast clouds),96.0,804.0,http://openweathermap.org/img/wn/04d.png
Gorges du Verdon,43.7497,6.32859,7.0,2022-02-17 11:00:00,3.0,14.730000000000018,42.0,Clouds (broken clouds),67.0,803.0,http://openweathermap.org/img/wn/04d.png
Bormes les Mimosas,43.1506968,6.3419285000000025,7.0,2022-02-17 11:00:00,7.760000000000048,14.160000000000025,60.0,Clouds (scattered clouds),27.0,802.0,http://openweathermap.org/img/wn/03d.png
Cassis,43.2140359,5.5396318,7.0,2022-02-17 11:00:00,9.660000000000025,14.740000000000009,46.0,Clouds (broken clouds),64.0,803.0,http://openweathermap.org/img/wn/04d.png
Marseille,43.2961743,5.3699525,7.0,2022-02-17 11:00:00,9.710000000000036,15.150000000000034,50.0,Clouds (broken clouds),62.0,803.0,http://openweathermap.org/img/wn/04d.png
Aix en Provence,43.5298424,5.4474738,7.0,2022-02-17 11:00:00,6.420000000000016,15.720000000000027,45.0,Clouds (broken clouds),57.0,803.0,http://openweathermap.org/img/wn/04d.png
Avignon,43.9492493,4.8059012,7.0,2022-02-17 11:00:00,10.260000000000048,17.58000000000004,60.0,Clouds (broken clouds),63.0,803.0,http://openweathermap.org/img/wn/04d.png
Uzes,44.0121279,4.4196718,7.0,2022-02-17 11:00:00,7.6299999999999955,18.02000000000004,56.0,Clouds (overcast clouds),100.0,804.0,http://openweathermap.org/img/wn/04d.png
Nimes,43.8374249,4.3600687,7.0,2022-02-17 11:00:00,8.379999999999995,19.180000000000007,53.0,Clouds (overcast clouds),98.0,804.0,http://openweathermap.org/img/wn/04d.png
Aigues Mortes,43.5658225,4.1912837,7.0,2022-02-17 11:00:00,12.120000000000005,19.480000000000018,53.0,Clouds (broken clouds),57.0,803.0,http://openweathermap.org/img/wn/04d.png
Saintes Maries de la mer,43.4522771,4.4287172,7.0,2022-02-17 11:00:00,10.28000000000003,16.99000000000001,64.0,Clouds (overcast clouds),94.0,804.0,http://openweathermap.org/img/wn/04d.png
Collioure,42.52505,3.0831554,7.0,2022-02-17 12:00:00,11.220000000000027,17.610000000000014,61.0,Clouds (broken clouds),66.0,803.0,http://openweathermap.org/img/wn/04d.png
Carcassonne,43.21303579999999,2.3491069,7.0,2022-02-17 12:00:00,9.939999999999998,14.210000000000036,85.0,Rain (light rain),100.0,500.0,http://openweathermap.org/img/wn/10d.png
Ariege,42.9455368,1.4065544156065486,7.0,2022-02-17 12:00:00,3.4700000000000273,9.07000000000005,78.0,Clouds (overcast clouds),96.0,804.0,http://openweathermap.org/img/wn/04d.png
Toulouse,43.6044622,1.4442469,7.0,2022-02-17 12:00:00,9.28000000000003,13.470000000000027,87.0,Rain (light rain),100.0,500.0,http://openweathermap.org/img/wn/10d.png
Montauban,44.0175835,1.3549991,7.0,2022-02-17 12:00:00,9.090000000000032,12.5,91.0,Clouds (overcast clouds),100.0,804.0,http://openweathermap.org/img/wn/04d.png
Biarritz,43.47114375,-1.552726590666314,7.0,2022-02-17 12:00:00,10.800000000000011,13.450000000000045,84.0,Rain (light rain),100.0,500.0,http://openweathermap.org/img/wn/10d.png
Bayonne,43.49333789999999,-1.475099,7.0,2022-02-17 12:00:00,10.890000000000043,13.890000000000043,83.0,Rain (light rain),100.0,500.0,http://openweathermap.org/img/wn/10d.png
La Rochelle,46.1591126,-1.1520434,7.0,2022-02-17 12:00:00,10.600000000000023,11.379999999999995,93.0,Clouds (overcast clouds),100.0,804.0,http://openweathermap.org/img/wn/04d.png
