Date,Time,HomeTeam,AwayTeam,HomeTeam_id,AwayTeam_id,FTHG,FTAG,HY,AY,HR,AR
26/09/2021,12:00,Bordeaux,Rennes,18,14,1,1,1,4,0,0
26/09/2021,14:00,Brest,Metz,267,20,1,2,3,2,0,0
26/09/2021,14:00,Reims,Nantes,211,15,3,1,1,1,0,0
26/09/2021,14:00,Troyes,Angers,30,374,1,1,4,2,1,0
26/09/2021,16:00,Clermont,Monaco,242,25,1,3,2,4,0,0
26/09/2021,19:45,Marseille,Lens,6,9,2,3,2,1,0,0
01/10/2021,20:00,Lens,Reims,9,211,2,0,3,1,0,1
02/10/2021,16:00,Montpellier,Strasbourg,17,13,1,1,2,0,0,0
02/10/2021,20:00,Nice,Brest,46,267,2,1,1,1,0,0
03/10/2021,12:00,Rennes,Paris SG,14,26,2,0,2,3,0,0
03/10/2021,14:00,Angers,Metz,374,20,3,2,1,3,0,0
03/10/2021,14:00,Lorient,Clermont,11,242,1,1,2,1,0,0
03/10/2021,14:00,Monaco,Bordeaux,25,18,3,0,2,1,0,0
03/10/2021,14:00,Nantes,Troyes,15,30,2,0,2,2,0,0
03/10/2021,16:00,Lille,Marseille,43,6,2,0,2,3,0,1
03/10/2021,19:45,St Etienne,Lyon,38,22,1,1,2,3,0,1
15/10/2021,20:00,Paris SG,Angers,26,374,2,1,1,2,0,0
16/10/2021,16:00,Clermont,Lille,242,43,1,0,1,2,0,0
16/10/2021,20:00,Lyon,Monaco,22,25,2,0,1,2,0,0
17/10/2021,12:00,Troyes,Nice,30,46,1,0,2,1,0,0
17/10/2021,14:00,Bordeaux,Nantes,18,15,1,1,2,3,0,0
17/10/2021,14:00,Brest,Reims,267,211,1,1,3,4,0,0
17/10/2021,14:00,Metz,Rennes,20,14,0,3,3,1,0,0
17/10/2021,14:00,Strasbourg,St Etienne,13,38,5,1,3,2,0,1
17/10/2021,16:00,Montpellier,Lens,17,9,1,0,4,4,1,0
17/10/2021,19:45,Marseille,Lorient,6,11,4,1,0,1,0,0
22/10/2021,20:00,St Etienne,Angers,38,374,2,2,0,3,0,0
23/10/2021,16:00,Nantes,Clermont,15,242,2,1,1,0,1,1
